STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1513,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",ANDHRA PRADESH,23,23,23,7,7,7,2050,2050,2050,NA,NA,NA,2.5,2.5,2.5,NA,NA,NA,400,400,400
1514,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST., A.P.",ANDHRA PRADESH,23,23,23,7.3,7.3,7.3,1639,1639,1639,NA,NA,NA,1.2,1.2,1.2,NA,NA,NA,400,400,400
1515,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",ANDHRA PRADESH,19,19,19,7.4,7.4,7.4,1569,1569,1569,0.6,0.6,0.6,2.8,2.8,2.8,NA,NA,NA,400,400,400
1516,B W OF NAVLOK GARDENS NELLORE AP,ANDHRA PRADESH,29,29,29,7.4,7.4,7.4,1119,1119,1119,NA,NA,NA,0.5,0.5,0.5,NA,NA,NA,400,400,400
1517,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",ANDHRA PRADESH,27,30.6,28.5,7.2,8.1,7.9,1520,1950,1687,0.8,1,0.9,3.1,8,4.6,0,0,0,20,40,32
1518,"B/W. - NANDYAL, KURNOOL DIST., A.P.",ANDHRA PRADESH,27,35,29.6,7.8,8.2,7.9,2150,5000,3720,1,1.6,1.4,4,14,8.4,0,0,0,20,50,36
1519,"B/W. - NAGIRI, CHITTOOR DIST., A.P",ANDHRA PRADESH,27,37,29.2,7.8,8.1,7.9,730,1510,1131,1.1,1.8,1.4,0,3.1,1.7,0,0,0,30,30,30
1520,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",ANDHRA PRADESH,27,39.5,31.1,7.6,8.3,7.9,723,1100,966,1.1,1.5,1.3,2.1,11.5,4.6,0,0,0,20,40,34
1521,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",ANDHRA PRADESH,25,25,25,7.7,7.7,7.7,1790,1790,1790,1,1,1,5.4,5.4,5.4,9,9,9,120,120,120
1522,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",ANDHRA PRADESH,25,29,26,7.2,7.7,7.4,771,1343,962,1,1.2,1.1,1.1,1.8,1.4,4,23,16,4,150,84
1523,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST., A.P",ANDHRA PRADESH,27,27,27,7.9,7.9,7.9,347,347,347,1,1,1,0.2,0.2,0.2,3,3,3,14,14,14
1524,"O/W. -NEAR PARTAP NAGAR BRIIDGE -KAKINADA , E.G.DIST., A.P",ANDHRA PRADESH,26,26,26,7.4,7.4,7.4,1904,1904,1904,1.2,1.2,1.2,1.5,1.5,1.5,4,4,4,4,4,4
1795,"B/W. - PANCHAYAT OFFICE , , BOLLARAM (V) MEDAK DIST., A.P",ANDHRA PRADESH,32,32,32,7.7,7.7,7.7,3180,3180,3180,6.8,6.8,6.8,8,8,8,10,10,10,86,86,86
1810,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABAD DIST. , A.P",ANDHRA PRADESH,28,28,28,7.5,7.5,7.5,1462,1462,1462,1,1,1,5,5,5,10,10,10,64,64,64
1811,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",ANDHRA PRADESH,29,29,29,6.9,6.9,6.9,4010,4010,4010,1.8,1.8,1.8,2,2,2,10,10,10,32,32,32
3087,"BORE WELL NEAR VILLAGE SECRETARIAT, PATHAPADU (V), KRISHNA, A.P.",ANDHRA PRADESH,23,23,23,7.1,7.1,7.1,1976,1976,1976,NA,NA,NA,5.2,5.2,5.2,NA,NA,NA,400,400,400
3088,"B/W AT J.NARASIMHA RAO’S HOUSE, 14NOS. AREA, RAMAVARAM, NEAR MWS DUMPSITE, KOTHAGUDEM, KHAMMAM, A.P.",ANDHRA PRADESH,20,20,20,7.2,7.2,7.2,1700,1700,1700,NA,NA,NA,0.7,0.7,0.7,NA,NA,NA,400,400,400
3089,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM, A.P.",ANDHRA PRADESH,25,25,25,7.7,7.7,7.7,2951,2951,2951,1.2,1.2,1.2,4.7,4.7,4.7,4,4,4,9,9,9
