,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,B.O.D. (mg/l) : Min : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Max_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,CONDUCTIVITY (µmhos/cm) : Min_imp,STATION CODE,LOCATIONS,State
4,1.0,0.9,0.8,1950.0,1687.0,1520.0,0.0,0.0,0.0,8.0,4.6,3.1,30.6,28.5,27.0,40.0,32.0,20.0,8.1,7.9,7.2,1.0,0.9,0.8,1950.0,1687.0,1520.0,1517.0,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",andhra_pradesh
5,1.6,1.4,1.0,5000.0,3720.0,2150.0,0.0,0.0,0.0,14.0,8.4,4.0,35.0,29.6,27.0,50.0,36.0,20.0,8.2,7.9,7.8,1.6,1.4,1.0,5000.0,3720.0,2150.0,1518.0,"B/W. - NANDYAL, KURNOOL DIST., A.P.",andhra_pradesh
6,1.8,1.4,1.1,1510.0,1131.0,730.0,0.0,0.0,0.0,3.1,1.7,0.0,37.0,29.2,27.0,30.0,30.0,30.0,8.1,7.9,7.8,1.8,1.4,1.1,1510.0,1131.0,730.0,1519.0,"B/W. - NAGIRI, CHITTOOR DIST., A.P",andhra_pradesh
7,1.5,1.3,1.1,1100.0,966.0,723.0,0.0,0.0,0.0,11.5,4.6,2.1,39.5,31.1,27.0,40.0,34.0,20.0,8.3,7.9,7.6,1.5,1.3,1.1,1100.0,966.0,723.0,1520.0,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",andhra_pradesh
8,1.0,1.0,1.0,1790.0,1790.0,1790.0,9.0,9.0,9.0,5.4,5.4,5.4,25.0,25.0,25.0,120.0,120.0,120.0,7.7,7.7,7.7,1.0,1.0,1.0,1790.0,1790.0,1790.0,1521.0,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",andhra_pradesh
9,1.2,1.1,1.0,1343.0,962.0,771.0,23.0,16.0,4.0,1.8,1.4,1.1,29.0,26.0,25.0,150.0,84.0,4.0,7.7,7.4,7.2,1.2,1.1,1.0,1343.0,962.0,771.0,1522.0,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",andhra_pradesh
10,1.0,1.0,1.0,347.0,347.0,347.0,3.0,3.0,3.0,0.2,0.2,0.2,27.0,27.0,27.0,14.0,14.0,14.0,7.9,7.9,7.9,1.0,1.0,1.0,347.0,347.0,347.0,1523.0,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST., A.P",andhra_pradesh
11,1.2,1.2,1.2,1904.0,1904.0,1904.0,4.0,4.0,4.0,1.5,1.5,1.5,26.0,26.0,26.0,4.0,4.0,4.0,7.4,7.4,7.4,1.2,1.2,1.2,1904.0,1904.0,1904.0,1524.0,"O/W. -NEAR PARTAP NAGAR BRIIDGE -KAKINADA , E.G.DIST., A.P",andhra_pradesh
13,1.0,1.0,1.0,1462.0,1462.0,1462.0,10.0,10.0,10.0,5.0,5.0,5.0,28.0,28.0,28.0,64.0,64.0,64.0,7.5,7.5,7.5,1.0,1.0,1.0,1462.0,1462.0,1462.0,1810.0,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABAD DIST. , A.P",andhra_pradesh
14,1.8,1.8,1.8,4010.0,4010.0,4010.0,10.0,10.0,10.0,2.0,2.0,2.0,29.0,29.0,29.0,32.0,32.0,32.0,6.9,6.9,6.9,1.8,1.8,1.8,4010.0,4010.0,4010.0,1811.0,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",andhra_pradesh
17,1.2,1.2,1.2,2951.0,2951.0,2951.0,4.0,4.0,4.0,4.7,4.7,4.7,25.0,25.0,25.0,9.0,9.0,9.0,7.7,7.7,7.7,1.2,1.2,1.2,2951.0,2951.0,2951.0,3089.0,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM, A.P.",andhra_pradesh
18,1.0,1.0,1.0,2311.0,2311.0,2311.0,120.0,120.0,120.0,8.6,8.6,8.6,26.0,26.0,26.0,2400.0,2400.0,2400.0,7.2,7.2,7.2,1.0,1.0,1.0,2311.0,2311.0,2311.0,3090.0,"HAND PUMP AT PITTAVANIPALEM, VISHAKHAPATNAM , A.P.",andhra_pradesh
19,1.0,1.0,1.0,2608.0,2608.0,2608.0,4.0,4.0,4.0,8.8,8.8,8.8,25.0,25.0,25.0,28.0,28.0,28.0,7.8,7.8,7.8,1.0,1.0,1.0,2608.0,2608.0,2608.0,3091.0,"BORE WELL AT KAPULUPPADA DUMPSITE, VISHAKHAPATNAM, A.P.",andhra_pradesh
