,SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
4,ANDAMAN & NICOBAR ISLANDS,1901,Percentage departure,-0.1,215.9,-2.6,-96.8,48.7,9.8,-8.2,20.1,-22.9,34.2,139.5,-78.1
7,ANDAMAN & NICOBAR ISLANDS,1902,Percentage departure,-100.0,479.6,-59.3,-100.0,25.5,13.9,-42.4,88.2,54.5,-31.9,54.1,4.7
10,ANDAMAN & NICOBAR ISLANDS,1903,Percentage departure,-74.2,422.3,-100.0,-98.6,-33.9,1.8,83.2,-18.4,-21.4,-37.4,22.0,46.8
13,ANDAMAN & NICOBAR ISLANDS,1904,Percentage departure,-80.9,-46.7,-100.0,180.3,-14.4,5.0,26.3,-60.0,90.2,-23.2,32.5,-73.8
16,ANDAMAN & NICOBAR ISLANDS,1905,Percentage departure,-97.4,-100.0,-89.0,-62.7,-21.4,33.4,-7.2,-17.5,-31.1,-9.9,-89.1,124.8
19,ANDAMAN & NICOBAR ISLANDS,1906,Percentage departure,-25.6,-100.0,-100.0,-100.0,56.4,55.6,-37.7,-20.0,-61.9,-7.5,-44.7,-48.3
22,ANDAMAN & NICOBAR ISLANDS,1907,Percentage departure,124.9,-100.0,278.0,-70.1,73.3,-35.2,11.7,-5.7,-53.5,-8.7,178.5,60.2
25,ANDAMAN & NICOBAR ISLANDS,1908,Percentage departure,-57.5,208.6,-100.0,-59.8,58.1,47.2,21.1,74.7,-0.6,-41.0,-10.7,28.4
28,ANDAMAN & NICOBAR ISLANDS,1910,Percentage departure,-46.0,-17.7,588.3,23.7,-36.9,0.3,-33.5,-15.8,45.3,-28.1,14.7,0.1
31,ANDAMAN & NICOBAR ISLANDS,1911,Percentage departure,-100.0,-69.5,-100.0,69.7,-8.0,37.7,-36.4,-53.3,7.7,15.3,-59.4,61.2
34,ANDAMAN & NICOBAR ISLANDS,1912,Percentage departure,1085.8,-97.1,-100.0,-69.7,-60.4,16.6,18.0,-7.6,-10.4,10.1,-49.7,-98.5
37,ANDAMAN & NICOBAR ISLANDS,1913,Percentage departure,72.3,-98.2,-95.7,-96.5,-46.4,12.4,-29.4,-48.6,34.5,-0.2,-42.9,-56.0
40,ANDAMAN & NICOBAR ISLANDS,1914,Percentage departure,-100.0,-100.0,-100.0,-47.8,-16.0,-18.7,99.4,29.9,-27.9,-51.7,-20.9,89.0
43,ANDAMAN & NICOBAR ISLANDS,1915,Percentage departure,-8.6,105.6,11.1,-43.4,-52.1,-29.0,-32.3,-20.8,-0.3,61.7,10.9,107.4
46,ANDAMAN & NICOBAR ISLANDS,1916,Percentage departure,-100.0,-100.0,-100.0,-99.3,37.1,-4.5,-20.2,6.1,30.1,27.7,-17.3,-12.8
49,ANDAMAN & NICOBAR ISLANDS,1917,Percentage departure,-83.7,-86.9,273.7,-93.8,-16.8,-36.1,-0.7,9.2,9.4,-17.7,-53.5,54.5
52,ANDAMAN & NICOBAR ISLANDS,1918,Percentage departure,57.2,-75.0,-62.0,-85.2,105.1,50.8,-49.5,13.7,-29.7,-21.6,57.5,14.1
55,ANDAMAN & NICOBAR ISLANDS,1919,Percentage departure,-79.3,-34.7,-100.0,-50.8,-20.2,15.1,-38.0,-35.1,-60.4,-35.7,46.1,68.5
58,ANDAMAN & NICOBAR ISLANDS,1920,Percentage departure,148.5,-73.2,-89.7,-82.0,-33.2,16.0,-25.9,16.7,17.2,37.3,12.8,-44.2
61,ANDAMAN & NICOBAR ISLANDS,1921,Percentage departure,-73.2,-88.8,-100.0,-48.1,-1.2,-40.0,22.5,-17.6,34.8,24.6,-49.3,-72.9
64,ANDAMAN & NICOBAR ISLANDS,1922,Percentage departure,398.3,24.4,-48.0,347.5,-18.5,7.4,7.1,-23.3,18.7,-44.0,132.2,25.4
67,ANDAMAN & NICOBAR ISLANDS,1923,Percentage departure,61.5,-100.0,-49.3,26.4,-17.5,71.5,60.2,-54.5,30.0,-54.4,-15.3,-53.9
70,ANDAMAN & NICOBAR ISLANDS,1924,Percentage departure,-41.7,-100.0,-50.6,24.2,-46.2,-44.6,24.1,-27.4,-41.8,14.4,62.5,-13.049999999999997
73,ANDAMAN & NICOBAR ISLANDS,1925,Percentage departure,-25.6,-100.0,-71.3,-30.2,-20.6,40.8,-39.2,-30.5,-53.2,-13.8,16.5,27.8
76,ANDAMAN & NICOBAR ISLANDS,1926,Percentage departure,148.0,-100.0,-100.0,-99.3,-44.2,-21.5,-50.9,30.7,66.8,53.3,-36.3,265.7
79,ANDAMAN & NICOBAR ISLANDS,1927,Percentage departure,-93.9,-36.5,-40.6,50.4,41.8,-8.1,-50.9,-7.6,-70.7,13.1,17.6,-57.3
82,ANDAMAN & NICOBAR ISLANDS,1928,Percentage departure,3.4,145.2,169.3,79.1,40.5,-13.0,2.2,-2.3,-6.1,53.6,-57.3,-91.2
85,ANDAMAN & NICOBAR ISLANDS,1929,Percentage departure,50.7,329.4,331.1,-3.3,-11.0,24.9,-66.3,61.0,-59.9,42.7,7.9,-91.2
88,ANDAMAN & NICOBAR ISLANDS,1930,Percentage departure,77.6,282.3,337.8,-84.9,-34.9,13.2,-20.0,11.5,57.0,-71.6,7.0,31.5
91,ANDAMAN & NICOBAR ISLANDS,1931,Percentage departure,-48.6,-100.0,-91.7,-96.5,-42.2,-16.5,-27.2,42.6,-31.7,27.2,-90.2,19.2
94,ANDAMAN & NICOBAR ISLANDS,1932,Percentage departure,-94.3,-90.9,-66.3,-19.4,34.9,-0.5,-16.25,8.0,22.150000000000002,5.0,-37.4,-21.849999999999998
97,ANDAMAN & NICOBAR ISLANDS,1933,Percentage departure,-90.9,-57.6,-73.0,-19.1,2.8,15.5,-5.3,-26.6,76.0,-17.2,15.4,-62.9
100,ANDAMAN & NICOBAR ISLANDS,1934,Percentage departure,-85.2,527.1,-77.0,82.0,-82.6,50.3,-18.6,130.9,76.5,16.8,3.1,-69.9
103,ANDAMAN & NICOBAR ISLANDS,1935,Percentage departure,-86.6,-100.0,-98.3,85.0,104.4,-20.6,-7.2,2.8,34.2,-37.0,18.2,-37.8
106,ANDAMAN & NICOBAR ISLANDS,1936,Percentage departure,-66.5,-44.5,288.7,70.05,-45.4,5.7,67.2,40.5,-11.0,-39.6,-14.5,38.4
109,ANDAMAN & NICOBAR ISLANDS,1937,Percentage departure,-56.1,-61.2,-100.0,55.1,-7.1,55.5,13.1,-17.1,-19.0,32.4,8.0,302.8
112,ANDAMAN & NICOBAR ISLANDS,1938,Percentage departure,-72.8,107.5,68.5,40.7,3.7,41.8,-20.0,-0.9,26.8,10.0,35.7,-29.9
