STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1825,PATNA,Bihar,22,22,22,7.1,7.1,7.1,1140,1140,1140,NA,NA,NA,0,0,0,11,11,11,22,22,22
1826,PATNA,Bihar,25,25,25,7.7,7.7,7.7,609,609,609,NA,NA,NA,0,0,0,7,7,7,17,17,17
1827,PATNA,Bihar,21,21,21,7.5,7.5,7.5,651,651,651,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1828,PATNA,Bihar,21,21,21,7.4,7.4,7.4,635,635,635,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1829,PATNA,Bihar,21,21,21,7.5,7.5,7.5,637,637,637,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1830,MUZAFFARPUR,Bihar,22,22,22,7.1,7.1,7.1,1190,1190,1190,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1831,MUZAFFARPUR,Bihar,22,22,22,7.3,7.3,7.3,845,845,845,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1832,BEGUSARAI,Bihar,24,24,24,7.4,7.4,7.4,NA,NA,NA,NA,NA,NA,0,0,0,6,6,6,14,14,14
1833,BEGUSARAI,Bihar,24,24,24,7.5,7.5,7.5,NA,NA,NA,NA,NA,NA,0,0,0,4,4,4,7,7,7
1834,PURNEA,Bihar,26,26,26,7.4,7.4,7.4,NA,NA,NA,NA,NA,NA,0,0,0,4,4,4,8,8,8
1835,PURNEA,Bihar,24,24,24,7.4,7.4,7.4,NA,NA,NA,NA,NA,NA,0,0,0,6,6,6,12,12,12
1836,BEGUSARAI,Bihar,26,26,26,7.4,7.4,7.4,NA,NA,NA,NA,NA,NA,0,0,0,6,6,6,20,20,20
1837,BEGUSARAI,Bihar,26,26,26,7.3,7.3,7.3,NA,NA,NA,NA,NA,NA,0,0,0,7,7,7,21,21,21
1838,MUNGER,Bihar,26,26,26,7.3,7.3,7.3,NA,NA,NA,NA,NA,NA,0,0,0,2,2,2,4,4,4
