STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
2453,"VILLAGE KHANVEL, DADRA",DADRA & NAGAR HAVELI,31,31,31,6.7,6.7,6.7,621,621,621,NA,NA,NA,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA
2454,"VILLAGE ATHAL, DADRA",DADRA & NAGAR HAVELI,32,32,32,6.9,6.9,6.9,660,660,660,NA,NA,NA,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA
2455,"VILLAGE MASAT, DADRA",DADRA & NAGAR HAVELI,31,31,31,7,7,7,1594,1594,1594,NA,NA,NA,1.7,1.7,1.7,NA,NA,NA,NA,NA,NA
2456,"VILLAGE PIPERIA, DADRA",DADRA & NAGAR HAVELI,32,32,32,6.9,6.9,6.9,1600,1600,1600,NA,NA,NA,4.5,4.5,4.5,NA,NA,NA,NA,NA,NA
2457,"VILLAGE GALONDA, DADRA",DADRA & NAGAR HAVELI,31,31,31,7,7,7,1060,1060,1060,NA,NA,NA,2.2,2.2,2.2,NA,NA,NA,10,10,10
2458,"VILLAGE, DADRA",DADRA & NAGAR HAVELI,31,31,31,7.2,7.2,7.2,3000,3000,3000,11,11,11,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA
1440,"WELL AT SOMNATH INDUSTRIAL ESTATE, DAMAN",DAMAN & DIU,29,32,30.7,6.9,7.4,7.2,830,1475,1255,NA,NA,NA,0.1,6.4,2.6,2,2,2,16,16,16
2448,"VILLAGE BHIMPORE, DAMAN",DAMAN & DIU,31,32,31.5,6.6,7.1,6.9,828,13000,6914,NA,NA,NA,0.4,7.4,3.9,1,1,1,6,6,6
2449,"VILLAGE RINGANWADA, DAMAN",DAMAN & DIU,31,31,31,6.9,6.9,6.9,2358,2358,2358,8,8,8,6.8,6.8,6.8,5,5,5,26,26,26
2450,"VILLAGE DUNETHA, DAMAN",DAMAN & DIU,31,31,31,6.8,6.8,6.8,680,680,680,NA,NA,NA,2.1,2.1,2.1,NA,NA,NA,20,20,20
2451,"VILLAGE DABHEL, DAMAN",DAMAN & DIU,32,32,32,6.6,6.6,6.6,1438,1438,1438,NA,NA,NA,2.6,2.6,2.6,5,5,5,18,18,18
2452,"VILLAGE KACHIGAM, DAMAN",DAMAN & DIU,32,32,32,7,7,7,1580,1580,1580,7,7,7,9.4,9.4,9.4,10,10,10,34,34,34
