STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1593,"WELL NEAR J.B SCHOOL, LAKSHDWEEP",Lakshadweep,27.7,32.8,30.1,6.7,7.9,7.3,816,1248,951,NA,NA,NA,0,0,0,4000,4000,4000,4000,100000,22333
1594,"WELL NEAR OTTAVATHIL PALLI, LAKSHDWEEP",Lakshadweep,27.5,32.6,29.9,6.8,7.6,7.2,1178,2240,1727,NA,NA,NA,0,0,0,1000,2000,1333,1000,25000,8909
1595,"WELL NEAR CHEKKILLAM HOUSE, LAKSHDWEEP",Lakshadweep,27.4,32.5,29.7,6.5,7.6,7.2,590,1004,777,NA,NA,NA,0,0,0,2000,114000,25857,10000,128000,37250
1596,"WELL C/O KADAT PALLI, LAKSHDWEEP",Lakshadweep,27,32.5,29.7,6.9,658,61.5,458,1264,702,NA,NA,NA,0,0,0,227,3000,1557,9000,74000,24250
NA,"WELL NEAR BADER PALLI, LAKSHDWEEP",LAKSHADWEEP,27.8,31.6,29.7,6.7,8.1,7.4,585,694,660,NA,NA,NA,0,0,0,465,14000,4116,300,294000,55192
1598,"WELL C/O PUTHIYA PALLI., LAKSHDWEEP",Lakshadweep,27,31.6,30,6.5,7.6,7.3,629,971,768,NA,NA,NA,0,0,0,1000,18000,5952,900,392500,67533
1599,"WELL C/O PURATHA PALLI, LAKSHDWEEP",Lakshadweep,27.4,31.6,29.7,6.6,7.6,7.1,603,963,810,NA,NA,NA,0,0,0,1000,1000,1000,2000,162000,32000
1600,WELL C/O ANDAM PALLILAKSHDWEEP,Lakshadweep,27.8,31.5,30.1,6.5,7.4,7,823,1041,937,NA,NA,NA,0,0,0,1000,1578,1289,1000,117000,26864
1601,WELL C/O CIRCUIT HOUSELAKSHDWEEP,Lakshadweep,28.3,30.7,29.8,6.6,7.5,7.2,695,3660,2012,NA,NA,NA,0,0,0,7000,11000,9000,4000,420000,145773
1602,"WELL C/O GOVT. PRESS, LAKSHDWEEP",Lakshadweep,27.8,30.7,29.3,6.8,7.6,7.3,1313,1970,1645,NA,NA,NA,0,0,0,1000,12000,4000,4000,68000,25250
1603,"WELL C/O OLD POLICE BARRACKS, LAKSHDWEEP",Lakshadweep,28.5,30.9,29.5,6.9,7.4,7.2,1513,4830,2842,NA,NA,NA,0,0,0,1000,26000,8500,4000,183000,60333
1605,"WELL NEAR HALIPAD, LAKSHDWEEP",Lakshadweep,28.6,30.8,29.6,7,7.6,7.3,1019,1800,1254,NA,NA,NA,0,0,0,3000,10000,6500,4000,1120000,241873
1606,"PUBLIC WELL OPPOSITE S.B.SCHOOL, LAKSHDWEEP",Lakshadweep,28,31.5,29.9,6.6,8,7.3,638,1165,902,NA,NA,NA,0,0,0,1000,5000,3000,11300,240000,77692
