STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1415,"WELL OF LOOMJI, CHAUDHARY, NEAR NAYAGAON, PALI, (U/S 1 KM. FROM PALI TOWN), RAJASTHAN",Rajasthan,25,25,25,8.4,8.4,8.4,2500,2500,2500,1.1,1.1,1.1,1.8,1.8,1.8,4,4,4,4,4,4
1416,"WELL OF BHOPAL SINGH, 24 KM. FROM PALI TOWN, RAJASTHAN",Rajasthan,26,26,26,8.4,8.4,8.4,7100,7100,7100,1.3,1.3,1.3,3.7,3.7,3.7,4,4,4,7,7,7
1706,"RIICO PUMP HOUSE NEAR MONTO MOTORS, MIA, ALWAR, RAJASTHAN",Rajasthan,28,28,28,8,8,8,940,940,940,0.8,0.8,0.8,1,1,1,NA,NA,NA,7,7,7
1708,"WELL KOTHI IN VILLAGE BAGAR RAJPUT, ALWAR, RAJASTHAN",Rajasthan,28,28,28,7.7,7.7,7.7,1400,1400,1400,1.1,1.1,1.1,0.8,0.8,0.8,NA,NA,NA,4,4,4
1709,"WELL AT VILLAGE SANTHLA VERY NEAR BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,28,28,28,7.4,7.4,7.4,950,950,950,1.5,1.5,1.5,0.8,0.8,0.8,4,4,4,9,9,9
1710,"WELL AT VILLAGE ALUPUR, VERY NEAR BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,28,28,28,7.5,7.5,7.5,1670,1670,1670,0.8,0.8,0.8,2.4,2.4,2.4,NA,NA,NA,4,4,4
1711,"WELL AT VILLAGE HARCHANDPUR, VERY NEAR, BHIWADI TO BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,29,29,29,7.2,7.2,7.2,6500,6500,6500,0.6,0.6,0.6,4.6,4.6,4.6,NA,NA,NA,4,4,4
1712,"WELL AT VILLAGE BHIWADI , VERY NEAR, BHIWADI TO BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,28,28,28,7.7,7.7,7.7,1600,1600,1600,1.8,1.8,1.8,0.5,0.5,0.5,NA,NA,NA,4,4,4
1713,"WELL AT VILLAGE GATTAL, NEAR, BHIWADI TO BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,29,29,29,7.8,7.8,7.8,1690,1690,1690,1,1,1,1,1,1,NA,NA,NA,4,4,4
1715,"HAND PUMP NEAR SECONDARY SCHOOL ABOUT 300M. FROM KANSUA NALA, DEOLI ARAB VILLAGE, KOTA, RAJASTHAN",Rajasthan,30,30,30,7.3,7.3,7.3,700,700,700,0.8,0.8,0.8,1.8,1.8,1.8,NA,NA,NA,9,9,9
1720,"CHAUDHARY KA WELL VILLAGE PANIALA, KOTAPUTALI NEAR ASSOCIATED ALCOHOL BREVERIES LTD JAIPUR, RAJASTH",Rajasthan,25,25,25,7.4,7.4,7.4,1300,1300,1300,0.7,0.7,0.7,0.5,0.5,0.5,NA,NA,NA,4,4,4
1721,"PHED WELL NEAR RAILWAY LINE JHOTAWARA, JAIPUR, RAJASTHAN",Rajasthan,26,26,26,7.6,7.6,7.6,560,560,560,0.7,0.7,0.7,2,2,2,NA,NA,NA,4,4,4
1723,"HAND PUMP OF VIDHANI VILLAGE GONER ROAD JAIPUR, RAJASTHAN",Rajasthan,25,25,25,7.5,7.5,7.5,4200,4200,4200,1.1,1.1,1.1,1.6,1.6,1.6,NA,NA,NA,4,4,4
1724,"WELL OF GOOJARON KI TALAI, MOHANA ROAD SANGANER JAIPUR, RAJASTHAN",Rajasthan,26,26,26,7.8,7.8,7.8,1590,1590,1590,0.9,0.9,0.9,0.7,0.7,0.7,4,4,4,9,9,9
1725,"PUBLIC HAND PUMP BEFORE SANGANER PULIA, RAJASTHAN",Rajasthan,26,26,26,6.8,6.8,6.8,1680,1680,1680,1.7,1.7,1.7,1.1,1.1,1.1,NA,NA,NA,4,4,4
2015,"PABUPURA ROAD NEAR CIVIL AIR PORT, JODHPUR (MANGILAL RATHOR)",Rajasthan,24,24,24,7.7,7.7,7.7,4700,4700,4700,1.6,1.6,1.6,4.4,4.4,4.4,NA,NA,NA,4,4,4
2017,"VILLAGE VINAYAKIA, JODHPUR (HIRALAL KUMHAR)",Rajasthan,22,23,22.5,7.8,8,7.9,2000,2500,2250,1.1,1.7,1.4,1.7,4.4,3,NA,NA,NA,4,4,4
2018,"VILLAGE VINAYAKIA, JODHPUR (HUKUM SINGH RATHORE)",Rajasthan,22,22,22,7.7,7.7,7.7,4300,4300,4300,1.4,1.4,1.4,2.6,2.6,2.6,4,4,4,9,9,9
2019,"NEAR UIT BRIDGE, UDAIPUR",Rajasthan,24,24,24,6.7,6.7,6.7,1820,1820,1820,1.1,1.1,1.1,1.3,1.3,1.3,NA,NA,NA,4,4,4
2020,"NEW FATEHPURA, 200 FT.FROM PANCHWATI NALLAH, UDAIPUR",Rajasthan,24,24,24,6.8,6.8,6.8,1870,1870,1870,1.2,1.2,1.2,1.4,1.4,1.4,NA,NA,NA,4,4,4
2021,"NEAR ARVIND GENERAL STORE, ALOO FACTORY, KACCHI BASTI, SARDARPURA, UDAIPUR",Rajasthan,24,24,24,6.8,6.8,6.8,2200,2200,2200,1.5,1.5,1.5,1,1,1,NA,NA,NA,4,4,4
2022,"NEAR RANA PRATAP NAGAR, RAILWAY STATION, UDAIPUR",Rajasthan,24,24,24,6.7,6.7,6.7,1700,1700,1700,1.6,1.6,1.6,1.1,1.1,1.1,NA,NA,NA,4,4,4
2023,"HOTEL ORIENT PLACE, SUBHAS NAGAR, UDAIPUR",Rajasthan,24,24,24,6.7,6.7,6.7,1500,1500,1500,1.4,1.4,1.4,2.1,2.1,2.1,4,4,4,9,9,9
2024,"IN SIDE SHIV TEMPLE NEAR AIR FORCE STATION AMER ROAD, JAIPUR",Rajasthan,27,27,27,7.1,7.1,7.1,1810,1810,1810,0.6,0.6,0.6,1.4,1.4,1.4,NA,NA,NA,4,4,4
2025,"NEAR SHREE KALYANESHWAR MPCBADEV TEMPLE, JAI SINGH PURA KHURD, JAIPUR.",Rajasthan,27,27,27,6.9,6.9,6.9,2000,2000,2000,0.9,0.9,0.9,2,2,2,4,4,4,9,9,9
2026,"NEAR FOJI NAGAR, KACCHI BASTI, AMBABARI, JAIPUR.",Rajasthan,27,27,27,6.9,6.9,6.9,1000,1000,1000,0.7,0.7,0.7,0.8,0.8,0.8,NA,NA,NA,4,4,4
2027,"NEAR ABN CENTRAL ACADEMY, SUSILPURA, SODALA, JAIPUR.",Rajasthan,26,26,26,7.3,7.3,7.3,1380,1380,1380,1,1,1,1,1,1,NA,NA,NA,4,4,4
2028,"NEAR SAMSHAN VISHWAKARMA NAGAR, MPCBARANIFARM, JAIPUR",Rajasthan,26,26,26,7.2,7.2,7.2,1410,1410,1410,0.7,0.7,0.7,0.8,0.8,0.8,NA,NA,NA,4,4,4
2029,"NEAR GANDHI BHWAN, AJMER",Rajasthan,32,32,32,7.6,7.6,7.6,850,850,850,0.9,0.9,0.9,1.1,1.1,1.1,NA,NA,NA,4,4,4
2030,"OPPOSITE PRIVATE BUS STAND, AJMER",Rajasthan,32,32,32,7.4,7.4,7.4,3400,3400,3400,1.7,1.7,1.7,1.4,1.4,1.4,NA,NA,NA,4,4,4
2031,"NEAR 9 NO. PETROL PUMP, NEAR ADARSH NAGAR GATE, AJMER",Rajasthan,32,32,32,7.5,7.5,7.5,1000,1000,1000,1.5,1.5,1.5,1,1,1,NA,NA,NA,4,4,4
2032,"NEAR KHANPURA TALAB, AJMER",Rajasthan,33,33,33,7.7,7.7,7.7,310,310,310,1.2,1.2,1.2,1.2,1.2,1.2,NA,NA,NA,4,4,4
2033,"OUTSIDE JLN HOSPITAL, AJMER",Rajasthan,33,33,33,7.2,7.2,7.2,2000,2000,2000,1.5,1.5,1.5,2.1,2.1,2.1,NA,NA,NA,4,4,4
2957,"WELL/ HAND PUMPS IN THE RIICO INDUSTRIAL AREA, BANSWARA, RAJASTHAN",Rajasthan,28,28,28,7.8,7.8,7.8,890,890,890,1.3,1.3,1.3,1,1,1,NA,NA,NA,4,4,4
2958,"WELL OF SH. BHURA RAM, KHETRI NGAR, JHUNJHUNU, RAJASTHAN",Rajasthan,27,27,27,6.9,6.9,6.9,4100,4100,4100,1.8,1.8,1.8,1.8,1.8,1.8,4,4,4,7,7,7
