,STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,B.O.D. (mg/l) : Min : < 3 mg/l_imp,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml_imp
0,1513,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",ANDHRA PRADESH,23,23.0,23.0,7.0,7.0,7.0,2050,2050,2050,,,,2.5,2.5,2.5,,,,400.0,400.0,400.0,1.1,1.0,1.2,10.0,0.0,10.0,400.0,400.0,400.0
1,1514,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST., A.P.",ANDHRA PRADESH,23,23.0,23.0,7.3,7.3,7.3,1639,1639,1639,,,,1.2,1.2,1.2,,,,400.0,400.0,400.0,1.2,1.0,1.0,4.0,4.0,4.0,400.0,400.0,400.0
2,1515,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",ANDHRA PRADESH,19,19.0,19.0,7.4,7.4,7.4,1569,1569,1569,0.6,0.6,0.6,2.8,2.8,2.8,,,,400.0,400.0,400.0,0.6,0.6,0.6,4.0,9.0,120.0,400.0,400.0,400.0
3,1516,B W OF NAVLOK GARDENS NELLORE AP,ANDHRA PRADESH,29,29.0,29.0,7.4,7.4,7.4,1119,1119,1119,,,,0.5,0.5,0.5,,,,400.0,400.0,400.0,16.0,1.2,1.0,10.0,0.0,0.0,400.0,400.0,400.0
4,1517,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",ANDHRA PRADESH,27,30.6,28.5,7.2,8.1,7.9,1520,1950,1687,0.8,1.0,0.9,3.1,8.0,4.6,0.0,0.0,0.0,20.0,40.0,32.0,0.8,1.0,0.9,0.0,0.0,0.0,20.0,40.0,32.0
5,1518,"B/W. - NANDYAL, KURNOOL DIST., A.P.",ANDHRA PRADESH,27,35.0,29.6,7.8,8.2,7.9,2150,5000,3720,1.0,1.6,1.4,4.0,14.0,8.4,0.0,0.0,0.0,20.0,50.0,36.0,1.0,1.6,1.4,0.0,0.0,0.0,20.0,50.0,36.0
6,1519,"B/W. - NAGIRI, CHITTOOR DIST., A.P",ANDHRA PRADESH,27,37.0,29.2,7.8,8.1,7.9,730,1510,1131,1.1,1.8,1.4,0.0,3.1,1.7,0.0,0.0,0.0,30.0,30.0,30.0,1.1,1.8,1.4,0.0,0.0,0.0,30.0,30.0,30.0
7,1520,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",ANDHRA PRADESH,27,39.5,31.1,7.6,8.3,7.9,723,1100,966,1.1,1.5,1.3,2.1,11.5,4.6,0.0,0.0,0.0,20.0,40.0,34.0,1.1,1.5,1.3,0.0,0.0,0.0,20.0,40.0,34.0
8,1521,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",ANDHRA PRADESH,25,25.0,25.0,7.7,7.7,7.7,1790,1790,1790,1.0,1.0,1.0,5.4,5.4,5.4,9.0,9.0,9.0,120.0,120.0,120.0,1.0,1.0,1.0,9.0,9.0,9.0,120.0,120.0,120.0
9,1522,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",ANDHRA PRADESH,25,29.0,26.0,7.2,7.7,7.4,771,1343,962,1.0,1.2,1.1,1.1,1.8,1.4,4.0,23.0,16.0,4.0,150.0,84.0,1.0,1.2,1.1,4.0,23.0,16.0,4.0,150.0,84.0
