,STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,1985,"Dug well at 5 -Star Industrial estate, Village-Kashimira Taluka- Mira-  Bhayander District-Thane ",Maharashtra,22,22,22,7.9,7.9,7.9,1385,1385,1385,5.0,5.0,5.0,1.7,1.7,1.7,20.0,20.0,20.0,40.0,40.0,40.0
1,1986,Bore well at Village- Motapada Taluka- Dahanu District- Thane,Maharashtra,29,29,29,8.5,8.5,8.5,699,699,699,5.6,5.6,5.6,0.6,0.6,0.6,15.0,15.0,15.0,25.0,25.0,25.0
2,1987,Bore well Village-Gokhiware Taluka- Vasai District- Thane ,Maharashtra,22,22,22,7.8,7.8,7.8,608,608,608,5.0,5.0,5.0,1.0,1.0,1.0,30.0,30.0,30.0,45.0,45.0,45.0
3,1988,"Bore well at Gharatwadi, Village- Aliyali Taluka- Palghar District- Thane",Maharashtra,29,29,29,8.5,8.5,8.5,871,871,871,5.2,5.2,5.2,0.6,0.6,0.6,14.0,14.0,14.0,26.0,26.0,26.0
4,1989,"Bore well at MWML site, Village-Karawla, Taloja Taluka- Panvel District- Raigad",Maharashtra,28,28,28,7.0,7.0,7.0,90,90,90,4.0,4.0,4.0,1.4,1.4,1.4,12.0,12.0,12.0,24.0,24.0,24.0
5,1993, Dug Well,Maharashtra,28,28,28,7.4,7.4,7.4,1016,1016,1016,3.0,3.0,3.0,0.2,0.2,0.2,2.0,2.0,2.0,79.0,79.0,79.0
7,1999,"Bore well Near Gram Panchayat office. Village-Changera, Taluka- Gondia, District- Gondia.",Maharashtra,28,28,28,8.3,8.3,8.3,555,555,555,6.0,6.0,6.0,1.1,1.1,1.1,60.0,60.0,60.0,90.0,90.0,90.0
8,2001,"Tube well at water treatment plant of.Achalpur M.C, near Post Office. Village-Paratwada, Taluka- Achalpur, District- Amravati",Maharashtra,25,25,25,8.6,8.6,8.6,567,567,567,6.0,6.0,6.0,43.0,43.0,43.0,30.0,30.0,30.0,60.0,60.0,60.0
13,2200, Bore Well,Maharashtra,29,29,29,7.8,7.8,7.8,928,928,928,4.0,4.0,4.0,0.1,0.1,0.1,2.0,2.0,2.0,94.0,94.0,94.0
14,2201,Dug Well,Maharashtra,28,28,28,7.2,7.2,7.2,1200,1200,1200,4.0,4.0,4.0,0.4,0.4,0.4,2.0,2.0,2.0,70.0,70.0,70.0
16,2203,"Hand Pump in the premises of Zilla Parishad Primary School. Village- Bhugaon,  Taluka- Wardha, District- Wardha.",Maharashtra,28,28,28,8.0,8.0,8.0,1124,1124,1124,7.6,7.6,7.6,77.0,77.0,77.0,23.0,23.0,23.0,40.0,40.0,40.0
17,2819,"Dug well owned by Shri Deshmukh. Village- Malegaon, Taluka- Baramati, District- Pune.",Maharashtra,28,28,28,8.2,8.2,8.2,5495,5495,5495,3.2,3.2,3.2,1.3,1.3,1.3,8.0,8.0,8.0,550.0,550.0,550.0
18,2820,"Dug well owned by Shri Shivaji Baban Darekar Village- Sanaswadi, Taluka- Shirur, District- Pune.",Maharashtra,25,25,25,7.7,8.1,7.9,1306,1368,1337,3.2,4.3,3.8,1.6,2.4,2.0,25.0,60.0,43.0,425.0,550.0,488.0
19,2821,"Bore well at Bale railway station premises owned by  Shri. Digambar Joshi. Village- Dahegaon,Taluka- North Solapur, District- Solapur.",Maharashtra,28,28,28,7.0,7.0,7.0,433,433,433,3.1,3.1,3.1,3.0,3.0,3.0,25.0,25.0,25.0,425.0,425.0,425.0
20,2822,"Bore well near  Chincholi. Village- Chincholi, Taluka- Mohol, District- Solapur.",Maharashtra,28,28,28,7.0,7.0,7.0,415,415,415,4.3,4.3,4.3,2.0,2.0,2.0,30.0,30.0,30.0,550.0,550.0,550.0
21,2823,"Bore well at Shete Vasti, near old Tuljapur road. Village- Tuljapur naka, Taluka- Solapur,District- Solapur.",Maharashtra,28,28,28,6.9,6.9,6.9,440,440,440,3.2,3.2,3.2,2.3,2.3,2.3,20.0,20.0,20.0,425.0,425.0,425.0
22,2825, Bore Well,Maharashtra,28,28,28,7.4,7.4,7.4,1090,1090,1090,5.0,5.0,5.0,0.2,0.2,0.2,2.0,2.0,2.0,79.0,79.0,79.0
23,2826,"Dug well near Railway station, Cotton Market. Village- Wardha city, Taluka- Wardha,District- Wardha.",Maharashtra,27,27,27,8.0,8.0,8.0,1173,1173,1173,6.0,6.0,6.0,76.0,76.0,76.0,70.0,70.0,70.0,170.0,170.0,170.0
24,2827,"Bore well Near Railway crossing at Dongri Buzurg. Village- Dongri-Buzurg, Taluka- Tumsar,District- Bandara.",Maharashtra,27,27,27,8.0,8.0,8.0,553,553,553,7.4,7.4,7.4,2.6,2.6,2.6,80.0,80.0,80.0,110.0,110.0,110.0
