,STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,1415,"WELL OF LOOMJI, CHAUDHARY, NEAR NAYAGAON, PALI, (U/S 1 KM. FROM PALI TOWN), RAJASTHAN",Rajasthan,25.0,25.0,25.0,8.4,8.4,8.4,2500,2500,2500,1.1,1.1,1.1,1.8,1.8,1.8,4.0,4.0,4.0,4.0,4.0,4.0
1,1416,"WELL OF BHOPAL SINGH, 24 KM. FROM PALI TOWN, RAJASTHAN",Rajasthan,26.0,26.0,26.0,8.4,8.4,8.4,7100,7100,7100,1.3,1.3,1.3,3.7,3.7,3.7,4.0,4.0,4.0,7.0,7.0,7.0
4,1709,"WELL AT VILLAGE SANTHLA VERY NEAR BHIWADI INDUSTRIAL AREA, BHIWADI, RAJASTHAN",Rajasthan,28.0,28.0,28.0,7.4,7.4,7.4,950,950,950,1.5,1.5,1.5,0.8,0.8,0.8,4.0,4.0,4.0,9.0,9.0,9.0
13,1724,"WELL OF GOOJARON KI TALAI, MOHANA ROAD SANGANER JAIPUR, RAJASTHAN",Rajasthan,26.0,26.0,26.0,7.8,7.8,7.8,1590,1590,1590,0.9,0.9,0.9,0.7,0.7,0.7,4.0,4.0,4.0,9.0,9.0,9.0
17,2018,"VILLAGE VINAYAKIA, JODHPUR (HUKUM SINGH RATHORE)",Rajasthan,22.0,22.0,22.0,7.7,7.7,7.7,4300,4300,4300,1.4,1.4,1.4,2.6,2.6,2.6,4.0,4.0,4.0,9.0,9.0,9.0
22,2023,"HOTEL ORIENT PLACE, SUBHAS NAGAR, UDAIPUR",Rajasthan,24.0,24.0,24.0,6.7,6.7,6.7,1500,1500,1500,1.4,1.4,1.4,2.1,2.1,2.1,4.0,4.0,4.0,9.0,9.0,9.0
24,2025,"NEAR SHREE KALYANESHWAR MPCBADEV TEMPLE, JAI SINGH PURA KHURD, JAIPUR.",Rajasthan,27.0,27.0,27.0,6.9,6.9,6.9,2000,2000,2000,0.9,0.9,0.9,2.0,2.0,2.0,4.0,4.0,4.0,9.0,9.0,9.0
34,2958,"WELL OF SH. BHURA RAM, KHETRI NGAR, JHUNJHUNU, RAJASTHAN",Rajasthan,27.0,27.0,27.0,6.9,6.9,6.9,4100,4100,4100,1.8,1.8,1.8,1.8,1.8,1.8,4.0,4.0,4.0,7.0,7.0,7.0
35,2959,"WELL OF SH. BRIJA RAM, KHETRI NAGAR, JHUNJHUNU, RAJASTHAN",Rajasthan,27.5,27.5,27.5,7.6,7.6,7.6,4300,4300,4300,1.1,1.1,1.1,1.6,1.6,1.6,4.0,4.0,4.0,9.0,9.0,9.0
36,2960,"WELL INFRONT OF SINGHANA POLICE STATION, SINGHANA, JHUNJHUNU, RAJASTHAN",Rajasthan,29.5,29.5,29.5,7.1,7.1,7.1,3600,3600,3600,2.0,2.0,2.0,1.5,1.5,1.5,4.0,4.0,4.0,9.0,9.0,9.0
