,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,27.4,27.5,27.5,5.2,7.2,6.2,137,180,159,0.8,1.2,1.0,1.96,3.31,2.6,79,220,150,110,630,370
1,24.0,26.0,25.0,5.7,7.7,6.7,103,125,114,0.2,0.6,0.4,0.42,1.3,0.9,17,350,184,22,430,226
2,24.0,24.0,24.0,4.8,7.2,6.0,170,220,195,0.6,0.6,0.6,0.81,0.84,0.8,43,280,162,110,430,270
3,25.0,26.5,25.8,6.0,6.8,6.4,296,412,354,1.0,1.6,1.3,0.0,2.3,1.2,79,110,95,220,350,285
4,25.0,26.5,25.8,7.0,7.4,7.2,150,170,160,1.0,7.0,4.0,1.2,4.2,2.7,43,94,69,180,240,210
5,23.0,23.0,23.0,4.6,4.8,4.7,150,168,159,0.5,0.5,0.5,0.3,1.2,0.8,0,2,1,17,49,33
6,28.0,28.5,28.3,7.6,7.7,7.7,143,211,177,0.3,1.2,0.8,0.0,0.1,0.0,110,210,160,210,280,245
7,28.2,29.0,28.6,7.7,7.7,7.7,230,580,405,1.2,4.9,3.1,0.7,9.7,5.2,11,140,76,210,700,455
8,27.0,28.5,27.8,4.5,6.8,5.7,130,526,328,0.8,1.2,1.0,1.5,9.9,5.7,2,11,7,7,21,14
9,28.0,28.0,28.0,6.6,7.2,6.9,245,250,248,0.8,1.0,0.9,7.8,8.5,8.1,11,220,116,21,700,361
10,28.0,30.0,29.0,7.2,7.9,7.6,260,280,270,0.8,1.2,1.0,0.2,2.9,1.5,140,180,160,540,630,585
11,29.0,29.5,29.3,6.7,6.9,6.8,280,290,285,0.4,0.8,0.6,0.4,1.0,0.7,0,4,2,11,21,16
12,25.0,27.0,26.0,6.3,7.0,6.7,95,106,101,0.2,0.9,0.6,1.3,1.9,1.6,11,350,181,17,790,404
13,29.0,29.0,29.0,4.8,6.1,5.5,98,100,99,0.7,1.2,1.0,2.9,3.7,3.3,0,4,2,11,21,16
14,28.0,28.0,28.0,6.2,7.0,6.6,130,198,164,0.4,2.0,1.2,0.5,4.1,2.3,0,2,1,9,26,18
15,27.5,29.0,28.3,5.7,7.3,6.5,156,405,281,0.3,0.5,0.4,4.1,7.0,5.6,490,1100,795,790,2600,1695
16,27.0,29.0,28.0,4.9,6.5,5.7,88,98,93,0.6,0.7,0.7,2.4,3.4,2.9,490,790,640,1100,1400,1250
17,27.0,28.0,27.5,5.9,6.5,6.2,147,166,157,0.5,0.5,0.5,2.3,3.2,2.7,210,1100,655,430,2800,1615
18,26.5,28.0,27.3,5.5,6.9,6.2,95,179,137,0.4,0.4,0.4,1.6,11.9,6.8,49,630,340,110,1100,605
19,28.0,28.0,28.0,7.7,7.8,7.8,243,254,249,0.7,1.5,1.1,0.0,0.1,0.0,210,430,320,310,700,505
20,24.0,24.0,24.0,5.5,7.2,6.4,180,230,205,1.2,1.2,1.2,2.4,2.5,2.5,110,210,160,430,490,460
21,24.0,24.0,24.0,7.4,8.3,7.9,450,525,488,1.8,2.0,1.9,0.9,2.5,1.7,11,210,111,43,490,267
22,27.0,28.0,27.5,4.5,5.8,5.2,45,81,63,0.8,1.2,1.0,1.1,1.2,1.2,9,21,15,110,220,165
