,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,23,23.0,23.0,7.0,7.0,7.0,2050,2050,2050,,,,2.5,2.5,2.5,,,,400.0,400.0,400.0
1,23,23.0,23.0,7.3,7.3,7.3,1639,1639,1639,,,,1.2,1.2,1.2,,,,400.0,400.0,400.0
2,19,19.0,19.0,7.4,7.4,7.4,1569,1569,1569,0.6,0.6,0.6,2.8,2.8,2.8,,,,400.0,400.0,400.0
3,29,29.0,29.0,7.4,7.4,7.4,1119,1119,1119,,,,0.5,0.5,0.5,,,,400.0,400.0,400.0
4,27,30.6,28.5,7.2,8.1,7.9,1520,1950,1687,0.8,1.0,0.9,3.1,8.0,4.6,0.0,0.0,0.0,20.0,40.0,32.0
5,27,35.0,29.6,7.8,8.2,7.9,2150,5000,3720,1.0,1.6,1.4,4.0,14.0,8.4,0.0,0.0,0.0,20.0,50.0,36.0
6,27,37.0,29.2,7.8,8.1,7.9,730,1510,1131,1.1,1.8,1.4,0.0,3.1,1.7,0.0,0.0,0.0,30.0,30.0,30.0
7,27,39.5,31.1,7.6,8.3,7.9,723,1100,966,1.1,1.5,1.3,2.1,11.5,4.6,0.0,0.0,0.0,20.0,40.0,34.0
8,25,25.0,25.0,7.7,7.7,7.7,1790,1790,1790,1.0,1.0,1.0,5.4,5.4,5.4,9.0,9.0,9.0,120.0,120.0,120.0
9,25,29.0,26.0,7.2,7.7,7.4,771,1343,962,1.0,1.2,1.1,1.1,1.8,1.4,4.0,23.0,16.0,4.0,150.0,84.0
10,27,27.0,27.0,7.9,7.9,7.9,347,347,347,1.0,1.0,1.0,0.2,0.2,0.2,3.0,3.0,3.0,14.0,14.0,14.0
11,26,26.0,26.0,7.4,7.4,7.4,1904,1904,1904,1.2,1.2,1.2,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0,4.0
12,32,32.0,32.0,7.7,7.7,7.7,3180,3180,3180,6.8,6.8,6.8,8.0,8.0,8.0,10.0,10.0,10.0,86.0,86.0,86.0
13,28,28.0,28.0,7.5,7.5,7.5,1462,1462,1462,1.0,1.0,1.0,5.0,5.0,5.0,10.0,10.0,10.0,64.0,64.0,64.0
14,29,29.0,29.0,6.9,6.9,6.9,4010,4010,4010,1.8,1.8,1.8,2.0,2.0,2.0,10.0,10.0,10.0,32.0,32.0,32.0
15,23,23.0,23.0,7.1,7.1,7.1,1976,1976,1976,,,,5.2,5.2,5.2,,,,400.0,400.0,400.0
16,20,20.0,20.0,7.2,7.2,7.2,1700,1700,1700,,,,0.7,0.7,0.7,,,,400.0,400.0,400.0
17,25,25.0,25.0,7.7,7.7,7.7,2951,2951,2951,1.2,1.2,1.2,4.7,4.7,4.7,4.0,4.0,4.0,9.0,9.0,9.0
18,26,26.0,26.0,7.2,7.2,7.2,2311,2311,2311,1.0,1.0,1.0,8.6,8.6,8.6,120.0,120.0,120.0,2400.0,2400.0,2400.0
19,25,25.0,25.0,7.8,7.8,7.8,2608,2608,2608,1.0,1.0,1.0,8.8,8.8,8.8,4.0,4.0,4.0,28.0,28.0,28.0
20,25,25.0,25.0,7.6,7.6,7.6,911,911,911,1.0,1.0,1.0,3.5,3.5,3.5,9.0,9.0,9.0,120.0,120.0,120.0
21,25,25.0,25.0,7.9,7.9,7.9,2096,2096,2096,1.0,1.0,1.0,6.3,6.3,6.3,4.0,4.0,4.0,11.0,11.0,11.0
22,0,0.0,0.0,7.6,7.6,7.6,896,896,896,16.0,16.0,16.0,0.0,0.0,0.0,,,,,,
23,0,0.0,0.0,7.9,7.9,7.9,1184,1184,1184,34.0,34.0,34.0,0.0,0.0,0.0,,,,,,
24,0,0.0,0.0,8.1,8.1,8.1,1312,1312,1312,56.0,56.0,56.0,0.0,0.0,0.0,,,,,,
25,0,0.0,0.0,8.1,8.1,8.1,1784,1784,1784,21.0,21.0,21.0,0.0,0.0,0.0,,,,,,
26,0,0.0,0.0,8.0,8.0,8.0,1099,1099,1099,24.0,24.0,24.0,0.0,0.0,0.0,,,,,,
27,0,0.0,0.0,7.6,7.6,7.6,1577,1577,1577,12.0,12.0,12.0,0.0,0.0,0.0,,,,,,
28,22,22.0,22.0,7.3,7.3,7.3,1738,1738,1738,,,,0.95,0.95,1.0,,,,400.0,400.0,400.0
29,30,30.0,30.0,7.9,7.9,7.9,497,497,497,1.0,1.0,1.0,3.0,3.0,3.0,10.0,10.0,10.0,24.0,24.0,24.0
