,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,23.0,24,23.5,6.4,6.6,6.5,734,762,748,0.7,2.0,1.4,5.4,8.6,7.0,0,36,18,0,24000,12000
1,23.0,24,23.5,6.2,6.5,6.4,205,470,338,0.7,1.5,1.1,0.2,1.2,0.7,0,150,75,0,11000,5500
2,24.0,25,24.5,6.4,7.5,7.0,302,364,333,0.9,1.8,1.4,0.3,0.7,0.5,0,0,0,91,91,91
3,20.0,25,22.5,5.5,5.8,5.7,696,885,791,1.3,2.4,1.9,0.1,0.4,0.3,0,0,0,0,91,46
4,24.0,25,24.5,6.6,7.4,7.0,440,579,510,1.1,3.3,2.2,2.4,3.8,3.1,36,72,54,2100,4600,3350
5,20.0,24,22.0,4.7,5.4,5.1,100,149,125,0.3,1.0,0.7,2.5,4.8,3.7,0,36,18,0,4600,2300
6,24.0,31,27.5,6.2,7.4,6.8,154,1043,599,1.0,2.9,2.0,0.5,2.5,1.5,0,0,0,0,0,0
7,23.0,32,27.5,5.3,6.4,5.9,146,746,446,0.9,1.3,1.1,0.1,0.4,0.3,0,0,0,0,0,0
8,22.0,24,23.0,6.3,6.4,6.4,734,1362,1048,1.0,3.8,2.4,7.4,12.2,9.8,0,240,120,230,24000,12115
9,24.0,26,25.0,6.5,7.3,6.9,440,991,716,0.6,2.4,1.5,0.6,1.1,0.9,0,36,18,0,91,46
10,23.0,23,23.0,5.7,5.7,5.7,436,745,591,0.7,0.9,0.8,6.7,9.8,8.3,0,0,0,0,0,0
11,21.0,25,23.0,6.3,6.9,6.6,520,604,562,0.8,1.4,1.1,3.3,3.8,3.6,0,9300,4650,36,9301,4669
12,25.0,28,26.5,5.4,5.9,5.7,95,400,248,0.9,1.1,1.0,1.0,4.0,2.5,30,430,230,431,1500,966
13,20.0,22,21.0,6.2,6.9,6.6,470,617,544,0.7,0.9,0.8,0.0,0.2,0.1,0,0,0,0,0,0
14,20.0,22,21.0,6.1,6.2,6.2,591,706,649,0.2,0.7,0.5,0.3,6.3,3.3,0,0,0,0,36,18
15,26.0,26,26.0,6.0,7.1,6.6,810,823,817,1.2,3.2,2.2,1.4,9.8,5.6,0,0,0,30,360,195
16,26.0,28,27.0,5.8,6.4,6.1,142,247,195,1.0,1.1,1.1,0.8,1.7,1.3,0,0,0,0,36,18
17,28.0,29,28.5,6.5,6.6,6.6,371,578,475,0.4,0.7,0.6,1.0,2.1,1.6,0,0,0,0,0,0
18,25.0,29,27.0,5.7,7.2,6.5,995,1648,1322,0.5,4.2,2.4,5.9,8.6,7.3,0,73,37,0,11000,5500
19,24.0,24,24.0,6.4,6.4,6.4,417,417,417,1.3,1.3,1.3,0.1,0.1,0.1,0,0,0,0,0,0
20,25.0,26,25.5,6.6,7.1,6.9,456,745,601,1.1,1.1,1.1,4.4,6.5,5.5,0,0,0,0,0,0
21,25.1,32,28.6,6.8,7.0,6.9,870,1205,1038,0.1,0.5,0.3,0.2,0.2,0.2,0,930,465,0,110000,55000
22,26.5,32,29.3,6.4,7.4,6.9,600,893,747,0.6,1.0,0.8,4.9,7.3,6.1,0,0,0,0,4600,2300
23,25.0,32,28.5,6.4,6.5,6.5,136,893,515,0.6,0.6,0.6,3.0,4.9,4.0,0,91,46,360,930,645
24,24.2,34,29.1,7.2,7.2,7.2,729,1036,883,0.5,1.2,0.9,0.1,0.5,0.3,0,2300,1150,91,2301,1196
25,27.0,33,30.0,6.5,6.6,6.6,465,613,539,0.4,1.1,0.8,2.8,3.1,3.0,0,0,0,230,2300,1265
26,28.0,29,28.5,7.2,7.5,7.4,1126,1904,1515,0.7,2.8,1.8,1.2,1.9,1.6,0,0,0,0,0,0
27,12.0,20,16.0,7.1,7.1,7.1,464,668,566,0.4,3.9,2.2,0.2,0.2,0.2,0,0,0,0,150,75
28,12.0,12,12.0,6.5,6.5,6.5,330,330,330,0.9,0.9,0.9,4.7,4.7,4.7,0,0,0,430,430,430
29,13.0,20,16.5,6.2,6.9,6.6,309,417,363,0.4,0.5,0.5,0.5,1.6,1.1,0,0,0,0,0,0
30,14.0,21,17.5,6.4,6.5,6.5,134,1190,662,3.1,4.1,3.6,0.6,4.0,2.3,0,910,455,280,29000,14640
