,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,22,22,22,7.1,7.1,7.1,1140.0,1140.0,1140.0,,,,0,0,0,11.0,11.0,11.0,22.0,22.0,22.0
1,25,25,25,7.7,7.7,7.7,609.0,609.0,609.0,,,,0,0,0,7.0,7.0,7.0,17.0,17.0,17.0
2,21,21,21,7.5,7.5,7.5,651.0,651.0,651.0,,,,0,0,0,,,,,,
3,21,21,21,7.4,7.4,7.4,635.0,635.0,635.0,,,,0,0,0,,,,,,
4,21,21,21,7.5,7.5,7.5,637.0,637.0,637.0,,,,0,0,0,,,,,,
5,22,22,22,7.1,7.1,7.1,1190.0,1190.0,1190.0,,,,0,0,0,,,,,,
6,22,22,22,7.3,7.3,7.3,845.0,845.0,845.0,,,,0,0,0,,,,,,
7,24,24,24,7.4,7.4,7.4,,,,,,,0,0,0,6.0,6.0,6.0,14.0,14.0,14.0
8,24,24,24,7.5,7.5,7.5,,,,,,,0,0,0,4.0,4.0,4.0,7.0,7.0,7.0
9,26,26,26,7.4,7.4,7.4,,,,,,,0,0,0,4.0,4.0,4.0,8.0,8.0,8.0
10,24,24,24,7.4,7.4,7.4,,,,,,,0,0,0,6.0,6.0,6.0,12.0,12.0,12.0
11,26,26,26,7.4,7.4,7.4,,,,,,,0,0,0,6.0,6.0,6.0,20.0,20.0,20.0
12,26,26,26,7.3,7.3,7.3,,,,,,,0,0,0,7.0,7.0,7.0,21.0,21.0,21.0
13,26,26,26,7.3,7.3,7.3,,,,,,,0,0,0,2.0,2.0,2.0,4.0,4.0,4.0
14,25,25,25,7.4,7.4,7.4,,,,,,,0,0,0,4.0,4.0,4.0,9.0,9.0,9.0
15,27,27,27,7.5,7.5,7.5,768.0,768.0,768.0,,,,0,0,0,11.0,11.0,11.0,27.0,27.0,27.0
16,26,26,26,7.7,7.7,7.7,516.0,516.0,516.0,,,,0,0,0,,,,,,
17,25,25,25,7.7,7.7,7.7,546.0,546.0,546.0,,,,0,0,0,8.0,8.0,8.0,13.0,13.0,13.0
18,26,26,26,7.7,7.7,7.7,542.0,542.0,542.0,,,,0,0,0,8.0,8.0,8.0,17.0,17.0,17.0
19,27,27,27,7.2,7.2,7.2,896.0,896.0,896.0,,,,0,0,0,6.0,6.0,6.0,14.0,14.0,14.0
20,22,22,22,7.8,7.8,7.8,886.0,886.0,886.0,,,,0,0,0,6.0,6.0,6.0,17.0,17.0,17.0
21,24,24,24,7.6,7.6,7.6,610.0,610.0,610.0,,,,0,0,0,4.0,4.0,4.0,11.0,11.0,11.0
22,25,25,25,7.6,7.6,7.6,612.0,612.0,612.0,,,,0,0,0,6.0,6.0,6.0,9.0,9.0,9.0
23,26,26,26,7.5,7.5,7.5,,,,,,,0,0,0,7.0,7.0,7.0,21.0,21.0,21.0
24,24,24,24,7.3,7.3,7.3,,,,,,,0,0,0,4.0,4.0,4.0,11.0,11.0,11.0
25,22,22,22,7.4,7.4,7.4,,,,,,,0,0,0,7.0,7.0,7.0,14.0,14.0,14.0
26,23,23,23,7.3,7.3,7.3,,,,,,,0,0,0,2.0,2.0,2.0,4.0,4.0,4.0
27,28,28,28,8.0,8.0,8.0,411.0,411.0,411.0,,,,0,0,0,7.0,7.0,7.0,17.0,17.0,17.0
