,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,23.4,28.4,25.9,7.4,7.9,7.6,496.0,692.0,594.0,0.2,0.6,0.4,0.0,0.0,0.0,,,,2.0,2.0,2.0
1,23.7,29.0,26.4,7.3,7.7,7.5,518.0,584.0,551.0,0.4,0.8,0.6,0.0,0.0,0.0,,,,4.0,8.0,6.0
2,30.0,30.0,30.0,7.5,7.5,7.5,604.0,604.0,604.0,,,,0.3,0.3,0.3,,,,10.0,10.0,10.0
3,30.0,30.0,30.0,7.5,7.5,7.5,1599.0,1599.0,1599.0,,,,0.8,0.8,0.8,,,,12.0,12.0,12.0
4,25.3,27.1,26.2,7.1,7.2,7.2,66.0,66.0,66.0,1.0,2.6,1.6,0.7,1.1,0.9,,,,30.0,60.0,44.0
5,25.4,27.2,26.3,7.2,7.3,7.2,68.0,68.0,68.0,0.4,1.0,0.7,0.4,0.9,0.7,,,,10.0,27.0,22.0
6,,,,7.4,7.4,7.4,,,,1.2,1.8,1.5,0.2,0.4,0.3,,,,9.0,9.0,9.0
7,26.4,26.8,26.6,6.8,6.9,6.9,,,,0.4,0.6,0.5,0.6,0.8,0.7,,,,2.0,2.0,2.0
8,26.6,26.9,26.8,7.1,7.2,7.1,,,,0.4,4.0,2.2,0.4,0.6,0.5,,,,,,
9,26.3,26.9,26.6,7.2,7.2,7.2,,,,0.6,2.0,1.3,0.4,1.1,0.7,,,,2.0,70.0,36.0
