,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,31,31,31.0,6.7,6.7,6.7,621,621,621,,,,0.3,0.3,0.3,,,,,,
1,32,32,32.0,6.9,6.9,6.9,660,660,660,,,,0.3,0.3,0.3,,,,,,
2,31,31,31.0,7.0,7.0,7.0,1594,1594,1594,,,,1.7,1.7,1.7,,,,,,
3,32,32,32.0,6.9,6.9,6.9,1600,1600,1600,,,,4.5,4.5,4.5,,,,,,
4,31,31,31.0,7.0,7.0,7.0,1060,1060,1060,,,,2.2,2.2,2.2,,,,10.0,10.0,10.0
5,31,31,31.0,7.2,7.2,7.2,3000,3000,3000,11.0,11.0,11.0,0.3,0.3,0.3,,,,,,
6,29,32,30.7,6.9,7.4,7.2,830,1475,1255,,,,0.1,6.4,2.6,2.0,2.0,2.0,16.0,16.0,16.0
7,31,32,31.5,6.6,7.1,6.9,828,13000,6914,,,,0.4,7.4,3.9,1.0,1.0,1.0,6.0,6.0,6.0
8,31,31,31.0,6.9,6.9,6.9,2358,2358,2358,8.0,8.0,8.0,6.8,6.8,6.8,5.0,5.0,5.0,26.0,26.0,26.0
9,31,31,31.0,6.8,6.8,6.8,680,680,680,,,,2.1,2.1,2.1,,,,20.0,20.0,20.0
10,32,32,32.0,6.6,6.6,6.6,1438,1438,1438,,,,2.6,2.6,2.6,5.0,5.0,5.0,18.0,18.0,18.0
11,32,32,32.0,7.0,7.0,7.0,1580,1580,1580,7.0,7.0,7.0,9.4,9.4,9.4,10.0,10.0,10.0,34.0,34.0,34.0
