,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,24.0,25.0,24.3,6.7,8.3,7.7,462,501,475,0.8,0.8,0.8,0.5,0.5,0.5,1.0,4.0,2.0,4.0,7.0,5.0
1,22.0,23.0,22.3,6.9,8.0,7.6,436,564,521,0.4,0.8,0.5,0.6,0.7,0.7,1.0,5.0,2.0,4.0,8.0,5.0
2,19.6,19.6,19.6,6.8,7.0,6.9,477,702,627,0.1,0.1,0.1,0.0,0.3,0.2,,,,,,
3,,,,6.8,7.3,7.0,320,798,639,0.1,0.1,0.1,0.4,1.9,1.4,,,,,,
4,,,,6.9,7.0,6.9,311,405,374,0.1,0.1,0.1,2.5,2.9,2.7,,,,,,
5,,,,6.9,7.4,7.2,476,881,746,0.1,0.1,0.1,1.0,2.4,1.5,,,,,,
6,20.0,20.0,20.0,7.6,8.2,8.0,739,772,761,0.5,0.5,0.5,2.0,4.3,3.5,,,,,,
7,12.0,22.0,15.3,7.6,7.6,7.6,673,698,681,0.4,0.8,0.5,2.2,3.1,2.5,,,,,,
8,7.0,20.0,13.0,5.9,7.9,7.0,268,632,489,0.8,35.0,6.9,0.0,10.1,2.5,8.0,40.0,17.0,28.0,168.0,77.0
9,16.0,16.0,16.0,6.5,7.7,7.3,324,410,381,0.2,0.3,0.2,3.0,4.6,3.5,,,,,,
10,14.5,22.0,17.7,6.9,7.9,7.5,215,572,389,0.1,2.4,1.2,0.0,10.6,1.9,6.0,40.0,15.0,8.0,84.0,28.0
11,13.0,18.0,16.0,8.1,8.5,8.3,244,592,357,0.5,16.0,4.7,0.1,0.9,0.3,26.0,94.0,70.0,180.0,280.0,235.0
12,,,,6.8,7.0,6.8,317,808,644,0.1,0.2,0.1,2.3,4.2,3.6,,,,,,
13,,,,7.3,7.4,7.4,309,400,370,0.1,0.1,0.1,3.3,3.3,3.3,,,,,,
14,,,,6.6,6.8,6.7,479,885,750,0.1,2.0,0.7,1.9,1.9,1.9,,,,,,
15,24.0,25.0,24.3,7.2,8.2,7.9,574,606,585,0.7,8.0,3.1,0.6,0.6,0.6,1.0,3.0,2.0,5.0,5.0,5.0
16,23.0,24.0,23.3,6.9,7.9,7.5,365,537,480,0.7,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,2.0,5.0,4.0
17,13.0,22.0,16.0,7.6,7.7,7.7,828,899,852,0.1,0.4,0.3,3.6,5.1,4.1,,,,,,
18,13.0,23.0,16.3,7.6,8.0,7.9,719,735,724,0.1,0.1,0.1,1.3,2.2,1.9,,,,,,
19,13.5,19.0,16.6,7.7,8.6,8.0,132,740,447,0.1,0.1,0.1,0.0,1.2,0.5,,,,,,
20,18.0,20.0,19.0,7.7,8.9,8.2,484,549,502,0.1,0.1,0.1,0.0,0.2,0.1,,,,,,
21,13.0,21.0,15.7,7.4,7.9,7.6,867,1130,1042,0.1,1.0,0.7,0.5,5.1,3.5,,,,,,
22,14.0,20.0,16.0,7.2,7.7,7.5,754,794,767,0.4,0.8,0.7,0.2,3.5,2.4,,,,,,
23,15.0,20.0,17.5,6.9,8.4,7.5,729,869,787,0.1,0.1,0.1,0.0,8.8,2.2,,,,,,
24,,,,6.7,8.2,7.8,121,1010,443,0.1,0.1,0.1,0.0,0.3,0.1,,,,,,
25,7.0,8.0,7.3,7.6,7.9,7.7,200,334,289,0.1,0.1,0.1,0.1,1.1,0.5,,,,,,
