,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,35.0,35.0,35.0,7.1,7.1,7.1,1005,1005,1005,127.4,127.4,127.4,1.0,1.0,1.0,,,,,,
1,,,,7.5,7.5,7.5,1880,1880,1880,,,,1.8,1.8,1.8,,,,,,
2,28.0,28.0,28.0,7.5,7.5,7.5,920,920,920,,,,5.1,5.1,5.1,,,,110.0,110.0,110.0
3,,,,8.2,8.2,8.2,3540,3540,3540,,,,3.1,3.1,3.1,,,,,,
4,28.0,28.0,28.0,7.1,7.1,7.1,1000,1000,1000,,,,6.0,6.0,6.0,,,,40.0,40.0,40.0
5,29.0,29.0,29.0,7.5,7.5,7.5,1192,1192,1192,2.3,2.3,2.3,2.3,2.3,2.3,,,,25.0,25.0,25.0
6,29.0,29.0,29.0,7.3,7.3,7.3,3347,3347,3347,1.8,1.8,1.8,30.5,30.5,30.5,,,,26.0,26.0,26.0
7,29.2,29.2,29.2,7.5,7.5,7.5,2878,2878,2878,2.0,2.0,2.0,29.5,29.5,29.5,,,,38.0,38.0,38.0
8,,,,7.6,7.6,7.6,1330,1330,1330,,,,5.2,5.2,5.2,,,,,,
9,29.0,29.0,29.0,7.4,7.4,7.4,1100,1100,1100,2.0,2.0,2.0,1.2,1.2,1.2,,,,,,
10,29.5,29.5,29.5,8.5,8.5,8.5,1475,1475,1475,1.0,1.0,1.0,2.6,2.6,2.6,,,,8.0,8.0,8.0
11,28.0,28.0,28.0,7.5,7.5,7.5,1660,1660,1660,1.1,1.1,1.1,7.3,7.3,7.3,,,,94.0,94.0,94.0
12,29.0,29.0,29.0,7.0,7.0,7.0,2271,2271,2271,2.2,2.2,2.2,2.7,2.7,2.7,,,,210.0,210.0,210.0
13,30.0,30.0,30.0,8.2,8.2,8.2,496,496,496,0.8,0.8,0.8,1.6,1.6,1.6,,,,110.0,110.0,110.0
