,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,22,22,22,7.9,7.9,7.9,1385,1385,1385,5.0,5.0,5.0,1.7,1.7,1.7,20.0,20.0,20.0,40.0,40.0,40.0
1,29,29,29,8.5,8.5,8.5,699,699,699,5.6,5.6,5.6,0.6,0.6,0.6,15.0,15.0,15.0,25.0,25.0,25.0
2,22,22,22,7.8,7.8,7.8,608,608,608,5.0,5.0,5.0,1.0,1.0,1.0,30.0,30.0,30.0,45.0,45.0,45.0
3,29,29,29,8.5,8.5,8.5,871,871,871,5.2,5.2,5.2,0.6,0.6,0.6,14.0,14.0,14.0,26.0,26.0,26.0
4,28,28,28,7.0,7.0,7.0,90,90,90,4.0,4.0,4.0,1.4,1.4,1.4,12.0,12.0,12.0,24.0,24.0,24.0
5,28,28,28,7.4,7.4,7.4,1016,1016,1016,3.0,3.0,3.0,0.2,0.2,0.2,2.0,2.0,2.0,79.0,79.0,79.0
6,26,26,26,8.0,8.0,8.0,943,943,943,5.0,5.0,5.0,100.7,100.7,100.7,,,,,,
7,28,28,28,8.3,8.3,8.3,555,555,555,6.0,6.0,6.0,1.1,1.1,1.1,60.0,60.0,60.0,90.0,90.0,90.0
8,25,25,25,8.6,8.6,8.6,567,567,567,6.0,6.0,6.0,43.0,43.0,43.0,30.0,30.0,30.0,60.0,60.0,60.0
9,27,27,27,8.7,8.7,8.7,435,435,435,5.8,5.8,5.8,1.6,1.6,1.6,,,,,,
10,27,27,27,8.7,8.7,8.7,435,435,435,5.8,5.8,5.8,1.6,1.6,1.6,,,,,,
11,25,25,25,7.3,7.3,7.3,1956,1956,1956,2.8,2.8,2.8,1.4,1.4,1.4,,,,,,
12,25,25,25,7.4,7.4,7.4,2425,2425,2425,2.9,2.9,2.9,0.5,0.5,0.5,,,,,,
13,29,29,29,7.8,7.8,7.8,928,928,928,4.0,4.0,4.0,0.1,0.1,0.1,2.0,2.0,2.0,94.0,94.0,94.0
14,28,28,28,7.2,7.2,7.2,1200,1200,1200,4.0,4.0,4.0,0.4,0.4,0.4,2.0,2.0,2.0,70.0,70.0,70.0
15,23,23,23,7.3,7.3,7.3,168,168,168,3.3,3.3,3.3,1.4,1.4,1.4,,,,,,
16,28,28,28,8.0,8.0,8.0,1124,1124,1124,7.6,7.6,7.6,77.0,77.0,77.0,23.0,23.0,23.0,40.0,40.0,40.0
17,28,28,28,8.2,8.2,8.2,5495,5495,5495,3.2,3.2,3.2,1.3,1.3,1.3,8.0,8.0,8.0,550.0,550.0,550.0
18,25,25,25,7.7,8.1,7.9,1306,1368,1337,3.2,4.3,3.8,1.6,2.4,2.0,25.0,60.0,43.0,425.0,550.0,488.0
19,28,28,28,7.0,7.0,7.0,433,433,433,3.1,3.1,3.1,3.0,3.0,3.0,25.0,25.0,25.0,425.0,425.0,425.0
20,28,28,28,7.0,7.0,7.0,415,415,415,4.3,4.3,4.3,2.0,2.0,2.0,30.0,30.0,30.0,550.0,550.0,550.0
21,28,28,28,6.9,6.9,6.9,440,440,440,3.2,3.2,3.2,2.3,2.3,2.3,20.0,20.0,20.0,425.0,425.0,425.0
22,28,28,28,7.4,7.4,7.4,1090,1090,1090,5.0,5.0,5.0,0.2,0.2,0.2,2.0,2.0,2.0,79.0,79.0,79.0
23,27,27,27,8.0,8.0,8.0,1173,1173,1173,6.0,6.0,6.0,76.0,76.0,76.0,70.0,70.0,70.0,170.0,170.0,170.0
24,27,27,27,8.0,8.0,8.0,553,553,553,7.4,7.4,7.4,2.6,2.6,2.6,80.0,80.0,80.0,110.0,110.0,110.0
25,27,27,27,8.0,8.0,8.0,915,915,915,6.2,6.2,6.2,24.0,24.0,24.0,,,,,,
26,25,25,25,7.1,7.1,7.1,2387,2387,2387,2.7,2.7,2.7,0.7,0.7,0.7,,,,,,
27,23,23,23,7.2,7.2,7.2,130,130,130,2.9,2.9,2.9,0.6,0.6,0.6,,,,,,
28,23,23,23,7.1,7.1,7.1,177,177,177,3.5,3.5,3.5,1.3,1.3,1.3,,,,,,
29,23,23,23,7.3,7.3,7.3,133,133,133,3.4,3.4,3.4,0.7,0.7,0.7,,,,,,
30,23,23,23,7.1,7.1,7.1,175,175,175,2.8,2.8,2.8,0.5,0.5,0.5,,,,,,
