,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,30,31.0,30.3,7.0,7.6,7.4,361,4800,3320,,,,0.0,0.8,0.4,,,,,,
1,30,32.0,30.7,7.3,7.4,7.4,1240,1900,1460,,,,0.0,0.3,0.1,,,,,,
2,30,32.0,30.7,7.0,7.4,7.3,476,658,597,,,,4.7,4.8,4.7,,,,,,
3,30,30.0,30.0,7.1,7.1,7.1,196,212,207,,,,1.2,1.2,1.2,,,,,,
4,30,30.0,30.0,7.1,7.3,7.2,1592,2200,1795,,,,0.0,2.6,0.9,,,,,,
5,30,30.0,30.0,7.2,7.6,7.5,500,574,549,,,,0.4,0.5,0.5,,,,,,
6,28,32.0,29.3,7.8,8.5,8.1,696,1474,1193,1.0,14.0,6.3,0.0,0.1,0.0,,,,,,
7,30,32.0,30.7,7.2,7.6,7.5,530,560,550,,,,5.0,6.3,5.5,,,,,,
8,32,32.0,32.0,7.3,7.7,7.6,1200,1272,1248,,,,0.5,0.6,0.6,,,,,,
9,32,32.0,32.0,7.4,7.5,7.5,3200,3210,3207,,,,0.0,0.1,0.0,,,,,,
10,30,32.0,31.3,7.4,7.5,7.5,1592,1600,1597,,,,0.0,1.9,0.6,,,,,,
11,27,28.5,27.5,7.4,7.5,7.5,1700,1728,1719,1.0,1.0,1.0,0.8,1.2,1.0,,,,,,
12,28,28.5,28.2,7.1,7.5,7.4,1446,1548,1514,,,,0.1,1.2,0.8,,,,,,
13,32,32.0,32.0,6.7,6.7,6.7,255,255,255,,,,5.8,5.8,5.8,,,,,,
14,32,32.0,32.0,6.8,6.8,6.8,126,126,126,,,,1.6,1.6,1.6,,,,,,
