,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,,,,6.7,7.0,6.9,1260,1260,1260,,,,1.8,7.2,4.5,,,,,,
1,,,,6.9,7.4,7.2,593,593,593,,,,1.4,3.3,2.4,,,,,,
2,,,,6.7,6.8,6.8,896,896,896,,,,1.4,4.3,2.9,,,,,,
3,,,,6.7,6.7,6.7,1273,1273,1273,,,,1.6,4.2,2.9,,,,,,
4,,,,6.8,7.2,7.0,749,749,749,,,,1.6,3.8,2.7,,,,,,
5,,,,7.0,7.0,7.0,1470,1470,1470,,,,3.0,3.0,3.0,,,,,,
6,,,,6.8,7.1,7.0,1504,2629,2067,,,,5.3,7.8,6.6,,,,,,
7,,,,6.9,6.9,6.9,2634,2634,2634,,,,8.0,8.0,8.0,,,,,,
8,,,,8.1,8.1,8.1,409,409,409,,,,1.2,1.2,1.2,,,,,,
9,,,,6.9,6.9,6.9,1189,1189,1189,,,,4.6,4.6,4.6,,,,,,
10,,,,6.9,6.9,6.9,2638,2638,2638,,,,8.6,8.6,8.6,,,,,,
11,,,,7.5,7.5,7.5,1009,1009,1009,,,,2.0,2.0,2.0,,,,,,
12,,,,7.1,7.1,7.1,2390,2390,2390,,,,4.4,4.4,4.4,,,,,,
13,,,,7.1,7.1,7.1,1083,1083,1083,,,,3.8,3.8,3.8,,,,,,
14,,,,7.2,7.2,7.2,669,669,669,,,,2.2,2.2,2.2,,,,,,
15,,,,6.8,6.8,6.8,1158,1158,1158,,,,4.2,4.2,4.2,,,,,,
16,,,,7.1,7.1,7.1,623,647,635,,,,2.4,2.5,2.5,,,,,,
17,,,,7.0,7.0,7.0,1673,1673,1673,,,,2.5,2.5,2.5,,,,,,
18,,,,7.4,7.4,7.4,406,406,406,,,,1.4,1.4,1.4,,,,,,
