,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,25.0,25.0,25.0,8.4,8.4,8.4,2500,2500,2500,1.1,1.1,1.1,1.8,1.8,1.8,4.0,4.0,4.0,4.0,4.0,4.0
1,26.0,26.0,26.0,8.4,8.4,8.4,7100,7100,7100,1.3,1.3,1.3,3.7,3.7,3.7,4.0,4.0,4.0,7.0,7.0,7.0
2,28.0,28.0,28.0,8.0,8.0,8.0,940,940,940,0.8,0.8,0.8,1.0,1.0,1.0,,,,7.0,7.0,7.0
3,28.0,28.0,28.0,7.7,7.7,7.7,1400,1400,1400,1.1,1.1,1.1,0.8,0.8,0.8,,,,4.0,4.0,4.0
4,28.0,28.0,28.0,7.4,7.4,7.4,950,950,950,1.5,1.5,1.5,0.8,0.8,0.8,4.0,4.0,4.0,9.0,9.0,9.0
5,28.0,28.0,28.0,7.5,7.5,7.5,1670,1670,1670,0.8,0.8,0.8,2.4,2.4,2.4,,,,4.0,4.0,4.0
6,29.0,29.0,29.0,7.2,7.2,7.2,6500,6500,6500,0.6,0.6,0.6,4.6,4.6,4.6,,,,4.0,4.0,4.0
7,28.0,28.0,28.0,7.7,7.7,7.7,1600,1600,1600,1.8,1.8,1.8,0.5,0.5,0.5,,,,4.0,4.0,4.0
8,29.0,29.0,29.0,7.8,7.8,7.8,1690,1690,1690,1.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,4.0,4.0
9,30.0,30.0,30.0,7.3,7.3,7.3,700,700,700,0.8,0.8,0.8,1.8,1.8,1.8,,,,9.0,9.0,9.0
10,25.0,25.0,25.0,7.4,7.4,7.4,1300,1300,1300,0.7,0.7,0.7,0.5,0.5,0.5,,,,4.0,4.0,4.0
11,26.0,26.0,26.0,7.6,7.6,7.6,560,560,560,0.7,0.7,0.7,2.0,2.0,2.0,,,,4.0,4.0,4.0
12,25.0,25.0,25.0,7.5,7.5,7.5,4200,4200,4200,1.1,1.1,1.1,1.6,1.6,1.6,,,,4.0,4.0,4.0
13,26.0,26.0,26.0,7.8,7.8,7.8,1590,1590,1590,0.9,0.9,0.9,0.7,0.7,0.7,4.0,4.0,4.0,9.0,9.0,9.0
14,26.0,26.0,26.0,6.8,6.8,6.8,1680,1680,1680,1.7,1.7,1.7,1.1,1.1,1.1,,,,4.0,4.0,4.0
15,24.0,24.0,24.0,7.7,7.7,7.7,4700,4700,4700,1.6,1.6,1.6,4.4,4.4,4.4,,,,4.0,4.0,4.0
16,22.0,23.0,22.5,7.8,8.0,7.9,2000,2500,2250,1.1,1.7,1.4,1.7,4.4,3.0,,,,4.0,4.0,4.0
17,22.0,22.0,22.0,7.7,7.7,7.7,4300,4300,4300,1.4,1.4,1.4,2.6,2.6,2.6,4.0,4.0,4.0,9.0,9.0,9.0
18,24.0,24.0,24.0,6.7,6.7,6.7,1820,1820,1820,1.1,1.1,1.1,1.3,1.3,1.3,,,,4.0,4.0,4.0
19,24.0,24.0,24.0,6.8,6.8,6.8,1870,1870,1870,1.2,1.2,1.2,1.4,1.4,1.4,,,,4.0,4.0,4.0
20,24.0,24.0,24.0,6.8,6.8,6.8,2200,2200,2200,1.5,1.5,1.5,1.0,1.0,1.0,,,,4.0,4.0,4.0
21,24.0,24.0,24.0,6.7,6.7,6.7,1700,1700,1700,1.6,1.6,1.6,1.1,1.1,1.1,,,,4.0,4.0,4.0
22,24.0,24.0,24.0,6.7,6.7,6.7,1500,1500,1500,1.4,1.4,1.4,2.1,2.1,2.1,4.0,4.0,4.0,9.0,9.0,9.0
23,27.0,27.0,27.0,7.1,7.1,7.1,1810,1810,1810,0.6,0.6,0.6,1.4,1.4,1.4,,,,4.0,4.0,4.0
24,27.0,27.0,27.0,6.9,6.9,6.9,2000,2000,2000,0.9,0.9,0.9,2.0,2.0,2.0,4.0,4.0,4.0,9.0,9.0,9.0
25,27.0,27.0,27.0,6.9,6.9,6.9,1000,1000,1000,0.7,0.7,0.7,0.8,0.8,0.8,,,,4.0,4.0,4.0
26,26.0,26.0,26.0,7.3,7.3,7.3,1380,1380,1380,1.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,4.0,4.0
27,26.0,26.0,26.0,7.2,7.2,7.2,1410,1410,1410,0.7,0.7,0.7,0.8,0.8,0.8,,,,4.0,4.0,4.0
28,32.0,32.0,32.0,7.6,7.6,7.6,850,850,850,0.9,0.9,0.9,1.1,1.1,1.1,,,,4.0,4.0,4.0
29,32.0,32.0,32.0,7.4,7.4,7.4,3400,3400,3400,1.7,1.7,1.7,1.4,1.4,1.4,,,,4.0,4.0,4.0
30,32.0,32.0,32.0,7.5,7.5,7.5,1000,1000,1000,1.5,1.5,1.5,1.0,1.0,1.0,,,,4.0,4.0,4.0
31,33.0,33.0,33.0,7.7,7.7,7.7,310,310,310,1.2,1.2,1.2,1.2,1.2,1.2,,,,4.0,4.0,4.0
32,33.0,33.0,33.0,7.2,7.2,7.2,2000,2000,2000,1.5,1.5,1.5,2.1,2.1,2.1,,,,4.0,4.0,4.0
33,28.0,28.0,28.0,7.8,7.8,7.8,890,890,890,1.3,1.3,1.3,1.0,1.0,1.0,,,,4.0,4.0,4.0
34,27.0,27.0,27.0,6.9,6.9,6.9,4100,4100,4100,1.8,1.8,1.8,1.8,1.8,1.8,4.0,4.0,4.0,7.0,7.0,7.0
35,27.5,27.5,27.5,7.6,7.6,7.6,4300,4300,4300,1.1,1.1,1.1,1.6,1.6,1.6,4.0,4.0,4.0,9.0,9.0,9.0
36,29.5,29.5,29.5,7.1,7.1,7.1,3600,3600,3600,2.0,2.0,2.0,1.5,1.5,1.5,4.0,4.0,4.0,9.0,9.0,9.0
37,26.0,26.0,26.0,7.4,7.4,7.4,670,670,670,1.3,1.3,1.3,0.7,0.7,0.7,4.0,4.0,4.0,4.0,4.0,4.0
38,26.0,26.0,26.0,7.5,7.5,7.5,750,750,750,1.3,1.3,1.3,0.6,0.6,0.6,,,,4.0,4.0,4.0
39,25.0,25.0,25.0,7.8,7.8,7.8,990,990,990,0.8,0.8,0.8,0.6,0.6,0.6,,,,4.0,4.0,4.0
40,27.0,27.0,27.0,7.4,7.4,7.4,1170,1170,1170,2.5,2.5,2.5,0.6,0.6,0.6,,,,4.0,4.0,4.0
41,24.0,24.0,24.0,8.3,8.3,8.3,890,890,890,2.8,2.8,2.8,2.4,2.4,2.4,4.0,4.0,4.0,7.0,7.0,7.0
42,25.0,25.0,25.0,8.4,8.4,8.4,5700,5700,5700,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,7.0,7.0
43,24.0,24.0,24.0,8.4,8.4,8.4,1590,1590,1590,2.8,2.8,2.8,1.4,1.4,1.4,4.0,4.0,4.0,7.0,7.0,7.0
44,24.0,24.0,24.0,8.5,8.5,8.5,6100,6100,6100,2.0,2.0,2.0,2.9,2.9,2.9,4.0,4.0,4.0,7.0,7.0,7.0
45,28.0,28.0,28.0,7.5,7.5,7.5,860,860,860,1.7,1.7,1.7,1.4,1.4,1.4,4.0,4.0,4.0,7.0,7.0,7.0
46,28.0,28.0,28.0,7.5,7.5,7.5,1740,1740,1740,0.9,0.9,0.9,2.3,2.3,2.3,,,,4.0,4.0,4.0
47,28.0,28.0,28.0,7.5,7.5,7.5,2000,2000,2000,0.8,0.8,0.8,1.4,1.4,1.4,,,,4.0,4.0,4.0
48,28.0,28.0,28.0,7.6,7.6,7.6,2500,2500,2500,0.8,0.8,0.8,1.1,1.1,1.1,,,,4.0,4.0,4.0
49,27.0,27.0,27.0,7.7,7.7,7.7,3000,3000,3000,0.9,0.9,0.9,1.6,1.6,1.6,,,,4.0,4.0,4.0
50,29.0,29.0,29.0,7.7,7.7,7.7,1390,1390,1390,0.8,0.8,0.8,1.8,1.8,1.8,,,,4.0,4.0,4.0
51,28.0,28.0,28.0,7.5,7.5,7.5,4200,4200,4200,0.9,0.9,0.9,2.2,2.2,2.2,,,,4.0,4.0,4.0
52,23.0,25.0,24.0,7.5,8.4,8.0,5500,7800,6650,10.5,14.6,12.5,2.9,7.0,4.9,7.0,28.0,18.0,210.0,1100.0,655.0
53,22.0,22.0,22.0,7.8,7.8,7.8,21000,21000,21000,14.9,14.9,14.9,6.2,6.2,6.2,,,,4.0,4.0,4.0
54,20.0,20.0,20.0,8.0,8.0,8.0,2200,2200,2200,2.4,2.4,2.4,0.6,0.6,0.6,4.0,4.0,4.0,9.0,9.0,9.0
55,24.0,24.0,24.0,7.6,7.6,7.6,12700,12700,12700,2.5,2.5,2.5,4.0,4.0,4.0,,,,4.0,4.0,4.0
56,19.0,19.0,19.0,7.8,7.8,7.8,8400,8400,8400,2.7,2.7,2.7,3.1,3.1,3.1,,,,4.0,4.0,4.0
57,20.0,20.0,20.0,8.0,8.0,8.0,8300,8300,8300,7.8,7.8,7.8,5.7,5.7,5.7,,,,4.0,4.0,4.0
58,19.0,19.0,19.0,7.9,7.9,7.9,6600,6600,6600,1.8,1.8,1.8,3.0,3.0,3.0,,,,4.0,4.0,4.0
59,20.0,20.0,20.0,7.8,7.8,7.8,11700,11700,11700,2.8,2.8,2.8,12.0,12.0,12.0,,,,4.0,4.0,4.0
60,18.0,18.0,18.0,7.6,7.6,7.6,11500,11500,11500,3.1,3.1,3.1,3.7,3.7,3.7,,,,4.0,4.0,4.0
61,19.0,19.0,19.0,7.4,7.4,7.4,9700,9700,9700,2.5,2.5,2.5,2.9,2.9,2.9,4.0,4.0,4.0,7.0,7.0,7.0
62,18.0,18.0,18.0,7.8,7.8,7.8,21000,21000,21000,4.3,4.3,4.3,5.6,5.6,5.6,4.0,4.0,4.0,7.0,7.0,7.0
63,27.0,27.0,27.0,7.3,7.3,7.3,3300,3300,3300,1.3,1.3,1.3,1.3,1.3,1.3,,,,4.0,4.0,4.0
64,29.0,29.0,29.0,7.6,7.6,7.6,1820,1820,1820,0.9,0.9,0.9,2.0,2.0,2.0,,,,4.0,4.0,4.0
65,28.0,28.0,28.0,7.8,7.8,7.8,870,870,870,0.7,0.7,0.7,1.8,1.8,1.8,,,,4.0,4.0,4.0
66,28.0,28.0,28.0,7.5,7.5,7.5,3500,3500,3500,1.7,1.7,1.7,2.1,2.1,2.1,,,,4.0,4.0,4.0
67,28.0,28.0,28.0,7.6,7.6,7.6,2500,2500,2500,0.9,0.9,0.9,0.8,0.8,0.8,,,,,,
68,26.0,26.0,26.0,7.7,7.7,7.7,2100,2100,2100,1.2,1.2,1.2,2.0,2.0,2.0,,,,7.0,7.0,7.0
