,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,22.0,24.0,23.0,6.9,7.0,6.9,1044,1072,1058,4.9,5.2,5.1,3.9,4.2,4.0,80.0,100.0,90.0,170.0,220.0,195.0
1,21.0,24.0,22.5,6.9,6.9,6.9,744,786,765,3.4,3.6,3.5,2.7,3.0,2.9,30.0,40.0,35.0,60.0,80.0,70.0
2,26.0,26.0,26.0,7.7,7.7,7.7,674,674,674,,,,0.0,0.0,0.0,,,,,,
3,26.0,26.0,26.0,7.4,7.4,7.4,2987,2987,2987,,,,0.0,0.0,0.0,,,,,,
4,26.0,26.0,26.0,7.3,7.3,7.3,2940,2940,2940,,,,0.0,0.0,0.0,,,,,,
5,26.0,26.0,26.0,7.5,7.5,7.5,1202,1202,1202,,,,0.0,0.0,0.0,,,,,,
6,25.0,25.8,25.4,7.1,7.3,7.2,587,639,613,0.1,0.1,0.1,0.0,0.3,0.2,,,,,,
7,25.0,26.0,25.5,7.0,7.2,7.1,963,1182,1072,0.2,0.2,0.2,10.2,24.8,17.5,,,,,,
8,29.0,29.0,29.0,6.9,6.9,6.9,3923,3923,3923,,,,3.9,3.9,3.9,,,,,,
9,29.0,29.0,29.0,7.4,7.4,7.4,1109,1109,1109,,,,4.2,4.2,4.2,,,,,,
10,18.0,22.0,20.7,7.6,7.8,7.7,315,869,622,,,,0.0,0.3,0.2,,,,,,
11,21.0,21.0,21.0,7.8,7.9,7.8,611,852,732,,,,0.2,0.2,0.2,,,,,,
12,22.0,22.0,22.0,7.1,7.2,7.2,510,740,625,,,,0.0,0.8,0.4,,,,,,
13,22.0,23.0,22.5,7.4,7.7,7.6,690,710,700,,,,0.0,0.8,0.4,,,,,,
14,23.0,23.6,23.3,6.6,7.3,6.9,1020,3880,2450,2.0,2.8,2.4,2.5,2.7,2.6,,,,,,
15,23.0,24.0,23.5,6.4,7.0,6.7,1680,1943,1812,2.0,2.5,2.3,1.0,1.8,1.4,,,,,,
16,22.8,24.0,23.4,6.4,7.1,6.8,1070,1250,1160,1.2,2.1,1.7,1.5,2.4,2.0,,,,,,
17,23.0,25.0,24.0,6.5,7.2,6.9,1210,1800,1505,2.2,2.6,2.4,0.4,1.8,1.1,,,,,,
18,22.9,23.8,23.4,7.2,7.4,7.3,1336,1418,1377,0.2,0.2,0.2,1.6,7.2,4.4,,,,,,
19,23.2,23.6,23.4,7.1,7.3,7.2,1248,1324,1286,0.3,0.3,0.3,0.0,1.5,0.7,,,,,,
20,23.3,24.0,23.7,6.7,7.0,6.9,1258,1336,1297,0.3,0.4,0.4,0.0,11.4,5.7,,,,,,
21,22.8,23.9,23.4,7.2,7.3,7.3,982,1015,999,0.3,0.4,0.4,0.0,1.6,0.8,,,,,,
22,23.8,33.0,28.9,7.1,7.6,7.3,1142,3300,2554,0.3,1.0,0.6,0.0,2.0,0.7,,,,,,
23,23.8,23.8,23.8,7.6,7.6,7.6,1142,1142,1142,0.3,0.3,0.3,0.0,0.0,0.0,,,,,,
24,23.8,23.8,23.8,7.6,7.6,7.6,1092,1092,1092,0.2,0.2,0.2,0.8,0.8,0.8,,,,,,
25,23.0,23.7,23.4,7.2,7.3,7.2,1272,1337,1305,0.3,0.4,0.4,0.0,3.8,1.9,,,,,,
26,20.0,23.0,21.5,8.0,8.0,8.0,486,496,491,2.2,2.6,2.4,0.3,0.4,0.4,40.0,60.0,50.0,100.0,110.0,105.0
27,22.0,23.0,22.5,7.6,7.6,7.6,960,1060,1010,,,,0.0,0.3,0.2,,,,,,
28,20.0,21.0,20.5,7.3,7.7,7.5,210,710,460,,,,0.0,0.8,0.4,,,,,,
29,20.0,21.0,20.5,7.7,7.8,7.8,601,792,697,,,,0.3,0.3,0.3,,,,,,
30,21.0,22.0,21.5,7.9,8.1,8.0,688,762,725,,,,0.4,0.4,0.4,,,,,,
31,17.2,31.2,26.2,7.3,7.9,7.6,983,2860,1382,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,25.0,25.8,25.4,7.2,7.5,7.4,520,601,560,0.3,0.3,0.3,0.0,0.4,0.2,,,,,,
33,20.0,20.0,20.0,7.5,7.5,7.5,380,380,380,,,,0.0,0.0,0.0,,,,,,
