District_Name,Season,Year_Range,Crop,Area,Production
ANANTAPUR,Kharif     ,1995-1998,Arhar/Tur,21400.0,2600.0
ANANTAPUR,Kharif     ,1995-1998,Bajra,1400.0,500.0
ANANTAPUR,Kharif     ,1995-1998,Castor seed,1000.0,100.0
ANANTAPUR,Kharif     ,1995-1998,Cotton(lint),7300.0,9400.0
ANANTAPUR,Kharif     ,1995-1998,Dry chillies,3700.0,7100.0
ANANTAPUR,Kharif     ,1995-1998,Groundnut,650800.0,228400.0
ANANTAPUR,Kharif     ,1995-1998,Horse-gram,3300.0,1000.0
ANANTAPUR,Kharif     ,1995-1998,Jowar,10100.0,10200.0
ANANTAPUR,Kharif     ,1995-1998,Korra,2200.0,700.0
ANANTAPUR,Kharif     ,1995-1998,Maize,2800.0,4900.0
ANANTAPUR,Kharif     ,1995-1998,Moong(Green Gram),1300.0,500.0
ANANTAPUR,Kharif     ,1995-1998,Other Kharif pulses,800.0,100.0
ANANTAPUR,Kharif     ,1995-1998,Ragi,6700.0,11800.0
ANANTAPUR,Kharif     ,1995-1998,Rice,35600.0,75400.0
ANANTAPUR,Kharif     ,1995-1998,Sugarcane,700.0,72900.0
ANANTAPUR,Kharif     ,1995-1998,Sunflower,35900.0,11100.0
ANANTAPUR,Kharif     ,1995-1998,Tobacco,200.0,200.0
ANANTAPUR,Kharif     ,1998-2001,Arhar/Tur,58093.0,16988.0
ANANTAPUR,Kharif     ,1998-2001,Bajra,6712.0,4238.0
ANANTAPUR,Kharif     ,1998-2001,Castor seed,14395.0,4186.0
ANANTAPUR,Kharif     ,1998-2001,Cotton(lint),35478.0,39538.0
ANANTAPUR,Kharif     ,1998-2001,Dry chillies,7755.0,20146.0
ANANTAPUR,Kharif     ,1998-2001,Gram,21.0,14.0
ANANTAPUR,Kharif     ,1998-2001,Groundnut,2241624.0,2002220.0
ANANTAPUR,Kharif     ,1998-2001,Horse-gram,4663.0,1610.0
ANANTAPUR,Kharif     ,1998-2001,Jowar,19902.0,34733.0
ANANTAPUR,Kharif     ,1998-2001,Korra,6226.0,4543.0
ANANTAPUR,Kharif     ,1998-2001,Maize,10133.0,25289.0
ANANTAPUR,Kharif     ,1998-2001,Masoor,23117.0,3861.0
ANANTAPUR,Kharif     ,1998-2001,Moong(Green Gram),5390.0,3172.0
ANANTAPUR,Kharif     ,1998-2001,Onion,1103.0,15470.0
ANANTAPUR,Kharif     ,1998-2001,Other Kharif pulses,5167.0,859.0
ANANTAPUR,Kharif     ,1998-2001,Ragi,19828.0,43290.0
ANANTAPUR,Kharif     ,1998-2001,Rice,116196.0,319562.0
ANANTAPUR,Kharif     ,1998-2001,Samai,21.0,5.0
ANANTAPUR,Kharif     ,1998-2001,Sesamum,13.0,3.0
ANANTAPUR,Kharif     ,1998-2001,Small millets,1647.0,1148.0
ANANTAPUR,Kharif     ,1998-2001,Sunflower,51906.0,36790.0
ANANTAPUR,Kharif     ,1998-2001,Urad,139.0,10.0
ANANTAPUR,Kharif     ,1998-2001,other misc. pulses,1292.0,214.0
