STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1620,"AT RAIPUR REGION, CHHATISSGARH",Chhattisgarh,23.4,28.4,25.9,7.4,7.9,7.6,496,692,594,0.2,0.6,0.4,0,0,0,NA,NA,NA,2,2,2
1621,"AT RAIPUR REGION,CHHATISSGARH",Chhattisgarh,23.7,29,26.4,7.3,7.7,7.5,518,584,551,0.4,0.8,0.6,0,0,0,NA,NA,NA,4,8,6
1622,"AT BILASPUR REGION, CHHATISSGARH",Chhattisgarh,30,30,30,7.5,7.5,7.5,604,604,604,NA,NA,NA,0.3,0.3,0.3,NA,NA,NA,10,10,10
1623,"AT BILASPUR REGION, CHHATISSGARH",Chhattisgarh,30,30,30,7.5,7.5,7.5,1599,1599,1599,NA,NA,NA,0.8,0.8,0.8,NA,NA,NA,12,12,12
3169,Drinking Water intake well of Municipal cop. Korba before treatment plant at kohadia village Korba.,CHHATTISGARH,25.3,27.1,26.2,7.1,7.2,7.2,66,66,66,1,2.6,1.6,0.7,1.1,0.9,NA,NA,NA,30,60,44
3170,Drinking Water intake well of Municipal cop. Korba after treatment plant at kohadia village Korba.,CHHATTISGARH,25.4,27.2,26.3,7.2,7.3,7.2,68,68,68,0.4,1,0.7,0.4,0.9,0.7,NA,NA,NA,10,27,22
3171,"HAND PUMP WATER 17/10 NEPALI MOHLLA, SHANKAR NAGAR, HEAVY INDUSTRIAL AREA, BHILAI, CHHATISGARH.",Chhattisgarh,NA,NA,NA,7.4,7.4,7.4,NA,NA,NA,1.2,1.8,1.5,0.2,0.4,0.3,NA,NA,NA,9,9,9
3172,"BOREWELL/ HANDPUMP IN ROGBAHRI VILLAGE, KORBA",Chhattisgarh,26.4,26.8,26.6,6.8,6.9,6.9,NA,NA,NA,0.4,0.6,0.5,0.6,0.8,0.7,NA,NA,NA,2,2,2
3173,"BOREWELL/ HANDPUMP IN PARSABHATA, BALCO, KORBA",Chhattisgarh,26.6,26.9,26.8,7.1,7.2,7.1,NA,NA,NA,0.4,4,2.2,0.4,0.6,0.5,NA,NA,NA,NA,NA,NA
3174,"BOREWELL/ HANDPUMP IN DHANRAS, NTPC,KORBA",Chhattisgarh,26.3,26.9,26.6,7.2,7.2,7.2,NA,NA,NA,0.6,2,1.3,0.4,1.1,0.7,NA,NA,NA,2,70,36
