STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1618,"GROUND WATER SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR, M.P",Madhya Pradesh,35,35,35,7.1,7.1,7.1,1005,1005,1005,127.4,127.4,127.4,1,1,1,NA,NA,NA,NA,NA,NA
2145,"MEHATWAS, NAGDA",Madhya Pradesh,NA,NA,NA,7.5,7.5,7.5,1880,1880,1880,NA,NA,NA,1.8,1.8,1.8,NA,NA,NA,NA,NA,NA
2146,"BHAGATPURI VILLAGE, NAGDA",Madhya Pradesh,28,28,28,7.5,7.5,7.5,920,920,920,NA,NA,NA,5.1,5.1,5.1,NA,NA,NA,110,110,110
2148,"DOSIGAON, RATLAM",Madhya Pradesh,NA,NA,NA,8.2,8.2,8.2,3540,3540,3540,NA,NA,NA,3.1,3.1,3.1,NA,NA,NA,NA,NA,NA
2149,"CULVERT ON A.B. ROAD, MAKSI",Madhya Pradesh,28,28,28,7.1,7.1,7.1,1000,1000,1000,NA,NA,NA,6,6,6,NA,NA,NA,40,40,40
2150,Trenching Ground Nr Garden Dev Guradia,Madhya Pradesh,29,29,29,7.5,7.5,7.5,1192,1192,1192,2.3,2.3,2.3,2.3,2.3,2.3,NA,NA,NA,25,25,25
2151,Trenching Ground Premises of Rishabh Masala,Madhya Pradesh,29,29,29,7.3,7.3,7.3,3347,3347,3347,1.8,1.8,1.8,30.5,30.5,30.5,NA,NA,NA,26,26,26
2152,Trenching Ground Premises of  Lakhani Foot Wear,Madhya Pradesh,29.2,29.2,29.2,7.5,7.5,7.5,2878,2878,2878,2,2,2,29.5,29.5,29.5,NA,NA,NA,38,38,38
3332,"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA, DEWAS",Madhya Pradesh,NA,NA,NA,7.6,7.6,7.6,1330,1330,1330,NA,NA,NA,5.2,5.2,5.2,NA,NA,NA,NA,NA,NA
3338,"HAND PUMP NEAR PANCHAYAT BHAWAN, VILLAGE TINAWALI RAIRU",Madhya Pradesh,29,29,29,7.4,7.4,7.4,1100,1100,1100,2,2,2,1.2,1.2,1.2,NA,NA,NA,NA,NA,NA
3339,T.W./H.P near Manglia.Ind. Area,Madhya Pradesh,29.5,29.5,29.5,8.5,8.5,8.5,1475,1475,1475,1,1,1,2.6,2.6,2.6,NA,NA,NA,8,8,8
3340,B.W.Water at.Kalindi  Vihar Trenching ground,Madhya Pradesh,28,28,28,7.5,7.5,7.5,1660,1660,1660,1.1,1.1,1.1,7.3,7.3,7.3,NA,NA,NA,94,94,94
3341,T.W.W. sec-III Pithampur            Tube Wewll Water,Madhya Pradesh,29,29,29,7,7,7,2271,2271,2271,2.2,2.2,2.2,2.7,2.7,2.7,NA,NA,NA,210,210,210
3342,T.W.W.at Village Tarpura sec-III Pithampur Tube Well Water,Madhya Pradesh,30,30,30,8.2,8.2,8.2,496,496,496,0.8,0.8,0.8,1.6,1.6,1.6,NA,NA,NA,110,110,110
