STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1644,"JAGATPUR INDUSTRIAL AREA, CUTTACK ODISHA",Odisha,28,28,28,7.1,7.2,7.2,515,842,679,0.4,0.4,0.4,1.2,5.8,3.5,4,4,4,23,23,23
1645,"MADHUPATNA- KALYAN NAGAR AREA, CUTTACK, ODISHA",Odisha,27,28,27.5,7,7.4,7.2,222,498,360,0.1,1,0.6,0.3,6.9,3.6,28,28,28,240,240,240
1646,"BIDANASHI - TULASIPUR AREA, CUTTACK, ODISHA",Odisha,26,27,26.5,7.2,7.6,7.4,163,173,168,0.1,0.2,0.2,0.2,0.7,0.5,NA,NA,NA,2,2,2
1647,"BADAMBARI AREA, CUTTACK, ODISHA",Odisha,28,28,28,6.9,7.4,7.2,661,804,733,0.3,1.4,0.9,0.4,0.8,0.6,NA,NA,NA,2,2,2
1648,"RANIHAT- MANGALABAGH AREA, CUTTACK, ODISHA",Odisha,25,37,29,7.3,8.3,7.7,132,851,336,0.2,23.3,6.7,0.6,10.6,4.7,92000,160000,143000,160000,600000,215000
1649,"KHANDAGIRI AREA, BHUBANESWAR, ODISHA",Odisha,26,33,29.5,6.1,6.1,6.1,143,290,217,0.1,0.5,0.3,1.3,9.7,5.5,NA,NA,NA,NA,NA,NA
1650,"CAPITAL HOSPITAL AREA, BHUBANESWAR, ODISHA",Odisha,26,30,28,6.4,7.5,7,245,274,260,0.3,0.5,0.4,0.4,1.6,1,NA,NA,NA,NA,NA,NA
1651,"OLD TOWN- SAMANTARAAIPUR AREA, BHUBANESWAR, ODISHA",Odisha,29,30,29.5,6.4,7.4,6.9,652,774,713,0.3,0.4,0.4,1.3,8.2,4.8,NA,NA,NA,NA,NA,NA
1652,"KALPNA - LAXMINAGAR AREA, BHUBANESWAR, ODISHA",Odisha,29,30,29.5,6.9,7,7,255,427,341,0.3,0.7,0.5,1.8,6,3.9,23,23,23,49,49,49
1653,"MANCHESWAR INDUSTRIAL AREA, BHUBANESWAR, ODISHA",Odisha,29,30,29.5,6.3,7.7,7,107,235,171,0.1,0.2,0.2,0.7,2.2,1.4,8,8,8,23,23,23
1654,"SECRETARIAT- GOVERNOR HOUSE- OLDBUS STAND AREA, BHUBANESWAR, ODISHA",Odisha,29,30,29.5,6.4,7.4,6.9,149,182,166,0.4,2.1,1.3,0.6,0.8,0.7,33,33,33,79,79,79
1655,"NEAR SEA BEACH, PURI, ODISHA",Odisha,28,28,28,8,8.4,8.2,1176,1340,1258,0.1,0.4,0.3,2.2,10.4,6.3,NA,NA,NA,NA,NA,NA
1656,"NEAR JAGANNATH TEMPLE, PURI, ODISHA",Odisha,26,27,26.5,7.9,7.9,7.9,988,1017,1003,0.2,0.3,0.3,2.9,11,6.9,130,130,130,540,540,540
1657,"HOSPITAL - BUSSTAND- MAUSHIMA TEMPLE AREA, PURI, ODISHA",Odisha,26,27,26.5,7.7,8.3,8,761,855,808,0.3,0.6,0.5,2.8,9.3,6,13,13,13,220,220,220
1658,"NEAR RIVER KUSHABHADRA, PURI, ODISHA",Odisha,27,28,27.5,8.2,8.3,8.3,320,403,362,0.2,0.5,0.4,0.3,3,1.6,NA,NA,NA,NA,NA,NA
