STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1898,"PETROL PUMP OPP. HERO CYCLE, LUDHIANA",PUNJAB,NA,NA,NA,6.7,7,6.9,1260,1260,1260,NA,NA,NA,1.8,7.2,4.5,NA,NA,NA,NA,NA,NA
1900,"GURCHAARAN SINGH HAIBOWAL DAIRY COMPLEX, LUDHIANA",PUNJAB,NA,NA,NA,6.9,7.4,7.2,593,593,593,NA,NA,NA,1.4,3.3,2.4,NA,NA,NA,NA,NA,NA
1901,"DUSSHERA GROUND INDUSTRIAL ESTATE, LUDHIANA",PUNJAB,NA,NA,NA,6.7,6.8,6.8,896,896,896,NA,NA,NA,1.4,4.3,2.9,NA,NA,NA,NA,NA,NA
1902,"SHUKLA TEA STAL POINT, LUDHIANA",PUNJAB,NA,NA,NA,6.7,6.7,6.7,1273,1273,1273,NA,NA,NA,1.6,4.2,2.9,NA,NA,NA,NA,NA,NA
1903,"PUNJAB AGRICULTUREAL UNIVERSITY, LUDHIANA",PUNJAB,NA,NA,NA,6.8,7.2,7,749,749,749,NA,NA,NA,1.6,3.8,2.7,NA,NA,NA,NA,NA,NA
2917,"NEAR HARMANDIR SAHEB, AMRITSAR, PUNJAB",PUNJAB,NA,NA,NA,7,7,7,1470,1470,1470,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA
2918,"DERA BASSI, PUNJAB",PUNJAB,NA,NA,NA,6.8,7.1,7,1504,2629,2067,NA,NA,NA,5.3,7.8,6.6,NA,NA,NA,NA,NA,NA
2920,"HAMIRA VILLAGE, PUNJAB",PUNJAB,NA,NA,NA,6.9,6.9,6.9,2634,2634,2634,NA,NA,NA,8,8,8,NA,NA,NA,NA,NA,NA
2921,"HAMIRA VILLAGE, PUNJAB",PUNJAB,NA,NA,NA,8.1,8.1,8.1,409,409,409,NA,NA,NA,1.2,1.2,1.2,NA,NA,NA,NA,NA,NA
2922,"LEATHER COMPLEX, JALANDHAR, PUNJAB",PUNJAB,NA,NA,NA,6.9,6.9,6.9,1189,1189,1189,NA,NA,NA,4.6,4.6,4.6,NA,NA,NA,NA,NA,NA
2923,"LEATHER COMPLEX, JALANDHAR, PUNJAB",PUNJAB,NA,NA,NA,6.9,6.9,6.9,2638,2638,2638,NA,NA,NA,8.6,8.6,8.6,NA,NA,NA,NA,NA,NA
2924,"MANDI GOBINDGARH, PUNJAB",PUNJAB,NA,NA,NA,7.5,7.5,7.5,1009,1009,1009,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA
2925,"MANDI GOBINDGARH, PUNJAB",PUNJAB,NA,NA,NA,7.1,7.1,7.1,2390,2390,2390,NA,NA,NA,4.4,4.4,4.4,NA,NA,NA,NA,NA,NA
2926,"NANGAL, PUNJAB",PUNJAB,NA,NA,NA,7.1,7.1,7.1,1083,1083,1083,NA,NA,NA,3.8,3.8,3.8,NA,NA,NA,NA,NA,NA
2926,"NANGAL, PUNJAB",PUNJAB,NA,NA,NA,7.2,7.2,7.2,669,669,669,NA,NA,NA,2.2,2.2,2.2,NA,NA,NA,NA,NA,NA
2927,"NANGAL, PUNJAB",PUNJAB,NA,NA,NA,6.8,6.8,6.8,1158,1158,1158,NA,NA,NA,4.2,4.2,4.2,NA,NA,NA,NA,NA,NA
2928,"ROPAR, PUNJAB",PUNJAB,NA,NA,NA,7.1,7.1,7.1,623,647,635,NA,NA,NA,2.4,2.5,2.5,NA,NA,NA,NA,NA,NA
2930,"TOANSA, PUNJAB",PUNJAB,NA,NA,NA,7,7,7,1673,1673,1673,NA,NA,NA,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA
2931,"TOANSA, PUNJAB",PUNJAB,NA,NA,NA,7.4,7.4,7.4,406,406,406,NA,NA,NA,1.4,1.4,1.4,NA,NA,NA,NA,NA,NA
