,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,State,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,B.O.D. (mg/l) : Min : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Max_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,CONDUCTIVITY (µmhos/cm) : Min_imp,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml_imp,TEMPERATURE ºC : Max_imp,TEMPERATURE ºC : Mean_imp,TEMPERATURE ºC : Min_imp,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml_imp
0,,,,2050.0,2050.0,2050.0,,,,2.5,2.5,2.5,andhra_pradesh,23.0,23.0,23.0,400.0,400.0,400.0,7.0,7.0,7.0,3.1707964601769913,2.6238938053097334,2.198230088495573,2050.0,2050.0,2050.0,1887.5023041474653,1088.8341013824884,562.2764976958525,23.0,23.0,23.0,400.0,400.0,400.0
1,,,,1639.0,1639.0,1639.0,,,,1.2,1.2,1.2,andhra_pradesh,23.0,23.0,23.0,400.0,400.0,400.0,7.3,7.3,7.3,3.1707964601769913,2.6238938053097334,2.198230088495573,1639.0,1639.0,1639.0,1887.5023041474653,1088.8341013824884,562.2764976958525,23.0,23.0,23.0,400.0,400.0,400.0
2,0.6,0.6,0.6,1569.0,1569.0,1569.0,,,,2.8,2.8,2.8,andhra_pradesh,19.0,19.0,19.0,400.0,400.0,400.0,7.4,7.4,7.4,0.6,0.6,0.6,1569.0,1569.0,1569.0,1887.5023041474653,1088.8341013824884,562.2764976958525,19.0,19.0,19.0,400.0,400.0,400.0
3,,,,1119.0,1119.0,1119.0,,,,0.5,0.5,0.5,andhra_pradesh,29.0,29.0,29.0,400.0,400.0,400.0,7.4,7.4,7.4,3.1707964601769913,2.6238938053097334,2.198230088495573,1119.0,1119.0,1119.0,1887.5023041474653,1088.8341013824884,562.2764976958525,29.0,29.0,29.0,400.0,400.0,400.0
4,1.0,0.9,0.8,1950.0,1687.0,1520.0,0.0,0.0,0.0,8.0,4.6,3.1,andhra_pradesh,30.6,28.5,27.0,40.0,32.0,20.0,8.1,7.9,7.2,1.0,0.9,0.8,1950.0,1687.0,1520.0,0.0,0.0,0.0,30.6,28.5,27.0,40.0,32.0,20.0
5,1.6,1.4,1.0,5000.0,3720.0,2150.0,0.0,0.0,0.0,14.0,8.4,4.0,andhra_pradesh,35.0,29.6,27.0,50.0,36.0,20.0,8.2,7.9,7.8,1.6,1.4,1.0,5000.0,3720.0,2150.0,0.0,0.0,0.0,35.0,29.6,27.0,50.0,36.0,20.0
6,1.8,1.4,1.1,1510.0,1131.0,730.0,0.0,0.0,0.0,3.1,1.7,0.0,andhra_pradesh,37.0,29.2,27.0,30.0,30.0,30.0,8.1,7.9,7.8,1.8,1.4,1.1,1510.0,1131.0,730.0,0.0,0.0,0.0,37.0,29.2,27.0,30.0,30.0,30.0
7,1.5,1.3,1.1,1100.0,966.0,723.0,0.0,0.0,0.0,11.5,4.6,2.1,andhra_pradesh,39.5,31.1,27.0,40.0,34.0,20.0,8.3,7.9,7.6,1.5,1.3,1.1,1100.0,966.0,723.0,0.0,0.0,0.0,39.5,31.1,27.0,40.0,34.0,20.0
8,1.0,1.0,1.0,1790.0,1790.0,1790.0,9.0,9.0,9.0,5.4,5.4,5.4,andhra_pradesh,25.0,25.0,25.0,120.0,120.0,120.0,7.7,7.7,7.7,1.0,1.0,1.0,1790.0,1790.0,1790.0,9.0,9.0,9.0,25.0,25.0,25.0,120.0,120.0,120.0
9,1.2,1.1,1.0,1343.0,962.0,771.0,23.0,16.0,4.0,1.8,1.4,1.1,andhra_pradesh,29.0,26.0,25.0,150.0,84.0,4.0,7.7,7.4,7.2,1.2,1.1,1.0,1343.0,962.0,771.0,23.0,16.0,4.0,29.0,26.0,25.0,150.0,84.0,4.0
10,1.0,1.0,1.0,347.0,347.0,347.0,3.0,3.0,3.0,0.2,0.2,0.2,andhra_pradesh,27.0,27.0,27.0,14.0,14.0,14.0,7.9,7.9,7.9,1.0,1.0,1.0,347.0,347.0,347.0,3.0,3.0,3.0,27.0,27.0,27.0,14.0,14.0,14.0
11,1.2,1.2,1.2,1904.0,1904.0,1904.0,4.0,4.0,4.0,1.5,1.5,1.5,andhra_pradesh,26.0,26.0,26.0,4.0,4.0,4.0,7.4,7.4,7.4,1.2,1.2,1.2,1904.0,1904.0,1904.0,4.0,4.0,4.0,26.0,26.0,26.0,4.0,4.0,4.0
12,6.8,6.8,6.8,3180.0,3180.0,3180.0,10.0,10.0,10.0,8.0,8.0,8.0,andhra_pradesh,32.0,32.0,32.0,86.0,86.0,86.0,7.7,7.7,7.7,6.8,6.8,6.8,3180.0,3180.0,3180.0,10.0,10.0,10.0,32.0,32.0,32.0,86.0,86.0,86.0
13,1.0,1.0,1.0,1462.0,1462.0,1462.0,10.0,10.0,10.0,5.0,5.0,5.0,andhra_pradesh,28.0,28.0,28.0,64.0,64.0,64.0,7.5,7.5,7.5,1.0,1.0,1.0,1462.0,1462.0,1462.0,10.0,10.0,10.0,28.0,28.0,28.0,64.0,64.0,64.0
14,1.8,1.8,1.8,4010.0,4010.0,4010.0,10.0,10.0,10.0,2.0,2.0,2.0,andhra_pradesh,29.0,29.0,29.0,32.0,32.0,32.0,6.9,6.9,6.9,1.8,1.8,1.8,4010.0,4010.0,4010.0,10.0,10.0,10.0,29.0,29.0,29.0,32.0,32.0,32.0
15,,,,1976.0,1976.0,1976.0,,,,5.2,5.2,5.2,andhra_pradesh,23.0,23.0,23.0,400.0,400.0,400.0,7.1,7.1,7.1,3.1707964601769913,2.6238938053097334,2.198230088495573,1976.0,1976.0,1976.0,1887.5023041474653,1088.8341013824884,562.2764976958525,23.0,23.0,23.0,400.0,400.0,400.0
16,,,,1700.0,1700.0,1700.0,,,,0.7,0.7,0.7,andhra_pradesh,20.0,20.0,20.0,400.0,400.0,400.0,7.2,7.2,7.2,3.1707964601769913,2.6238938053097334,2.198230088495573,1700.0,1700.0,1700.0,1887.5023041474653,1088.8341013824884,562.2764976958525,20.0,20.0,20.0,400.0,400.0,400.0
17,1.2,1.2,1.2,2951.0,2951.0,2951.0,4.0,4.0,4.0,4.7,4.7,4.7,andhra_pradesh,25.0,25.0,25.0,9.0,9.0,9.0,7.7,7.7,7.7,1.2,1.2,1.2,2951.0,2951.0,2951.0,4.0,4.0,4.0,25.0,25.0,25.0,9.0,9.0,9.0
18,1.0,1.0,1.0,2311.0,2311.0,2311.0,120.0,120.0,120.0,8.6,8.6,8.6,andhra_pradesh,26.0,26.0,26.0,2400.0,2400.0,2400.0,7.2,7.2,7.2,1.0,1.0,1.0,2311.0,2311.0,2311.0,120.0,120.0,120.0,26.0,26.0,26.0,2400.0,2400.0,2400.0
19,1.0,1.0,1.0,2608.0,2608.0,2608.0,4.0,4.0,4.0,8.8,8.8,8.8,andhra_pradesh,25.0,25.0,25.0,28.0,28.0,28.0,7.8,7.8,7.8,1.0,1.0,1.0,2608.0,2608.0,2608.0,4.0,4.0,4.0,25.0,25.0,25.0,28.0,28.0,28.0
20,1.0,1.0,1.0,911.0,911.0,911.0,9.0,9.0,9.0,3.5,3.5,3.5,andhra_pradesh,25.0,25.0,25.0,120.0,120.0,120.0,7.6,7.6,7.6,1.0,1.0,1.0,911.0,911.0,911.0,9.0,9.0,9.0,25.0,25.0,25.0,120.0,120.0,120.0
21,1.0,1.0,1.0,2096.0,2096.0,2096.0,4.0,4.0,4.0,6.3,6.3,6.3,andhra_pradesh,25.0,25.0,25.0,11.0,11.0,11.0,7.9,7.9,7.9,1.0,1.0,1.0,2096.0,2096.0,2096.0,4.0,4.0,4.0,25.0,25.0,25.0,11.0,11.0,11.0
22,16.0,16.0,16.0,896.0,896.0,896.0,,,,0.0,0.0,0.0,andhra_pradesh,0.0,0.0,0.0,,,,7.6,7.6,7.6,16.0,16.0,16.0,896.0,896.0,896.0,1887.5023041474653,1088.8341013824884,562.2764976958525,0.0,0.0,0.0,14249.386440677967,4048.237288135593,825.1254237288135
23,34.0,34.0,34.0,1184.0,1184.0,1184.0,,,,0.0,0.0,0.0,andhra_pradesh,0.0,0.0,0.0,,,,7.9,7.9,7.9,34.0,34.0,34.0,1184.0,1184.0,1184.0,1887.5023041474653,1088.8341013824884,562.2764976958525,0.0,0.0,0.0,14249.386440677967,4048.237288135593,825.1254237288135
24,56.0,56.0,56.0,1312.0,1312.0,1312.0,,,,0.0,0.0,0.0,andhra_pradesh,0.0,0.0,0.0,,,,8.1,8.1,8.1,56.0,56.0,56.0,1312.0,1312.0,1312.0,1887.5023041474653,1088.8341013824884,562.2764976958525,0.0,0.0,0.0,14249.386440677967,4048.237288135593,825.1254237288135
25,21.0,21.0,21.0,1784.0,1784.0,1784.0,,,,0.0,0.0,0.0,andhra_pradesh,0.0,0.0,0.0,,,,8.1,8.1,8.1,21.0,21.0,21.0,1784.0,1784.0,1784.0,1887.5023041474653,1088.8341013824884,562.2764976958525,0.0,0.0,0.0,14249.386440677967,4048.237288135593,825.1254237288135
26,24.0,24.0,24.0,1099.0,1099.0,1099.0,,,,0.0,0.0,0.0,andhra_pradesh,0.0,0.0,0.0,,,,8.0,8.0,8.0,24.0,24.0,24.0,1099.0,1099.0,1099.0,1887.5023041474653,1088.8341013824884,562.2764976958525,0.0,0.0,0.0,14249.386440677967,4048.237288135593,825.1254237288135
27,12.0,12.0,12.0,1577.0,1577.0,1577.0,,,,0.0,0.0,0.0,andhra_pradesh,0.0,0.0,0.0,,,,7.6,7.6,7.6,12.0,12.0,12.0,1577.0,1577.0,1577.0,1887.5023041474653,1088.8341013824884,562.2764976958525,0.0,0.0,0.0,14249.386440677967,4048.237288135593,825.1254237288135
28,,,,1738.0,1738.0,1738.0,,,,0.95,1.0,0.95,andhra_pradesh,22.0,22.0,22.0,400.0,400.0,400.0,7.3,7.3,7.3,3.1707964601769913,2.6238938053097334,2.198230088495573,1738.0,1738.0,1738.0,1887.5023041474653,1088.8341013824884,562.2764976958525,22.0,22.0,22.0,400.0,400.0,400.0
29,1.0,1.0,1.0,497.0,497.0,497.0,10.0,10.0,10.0,3.0,3.0,3.0,andhra_pradesh,30.0,30.0,30.0,24.0,24.0,24.0,7.9,7.9,7.9,1.0,1.0,1.0,497.0,497.0,497.0,10.0,10.0,10.0,30.0,30.0,30.0,24.0,24.0,24.0
30,2.0,1.4,0.7,762.0,748.0,734.0,36.0,18.0,0.0,8.6,7.0,5.4,assam,24.0,23.5,23.0,24000.0,12000.0,0.0,6.6,6.5,6.4,2.0,1.4,0.7,762.0,748.0,734.0,36.0,18.0,0.0,24.0,23.5,23.0,24000.0,12000.0,0.0
31,1.5,1.1,0.7,470.0,338.0,205.0,150.0,75.0,0.0,1.2,0.7,0.2,assam,24.0,23.5,23.0,11000.0,5500.0,0.0,6.5,6.4,6.2,1.5,1.1,0.7,470.0,338.0,205.0,150.0,75.0,0.0,24.0,23.5,23.0,11000.0,5500.0,0.0
32,1.8,1.4,0.9,364.0,333.0,302.0,0.0,0.0,0.0,0.7,0.5,0.3,assam,25.0,24.5,24.0,91.0,91.0,91.0,7.5,7.0,6.4,1.8,1.4,0.9,364.0,333.0,302.0,0.0,0.0,0.0,25.0,24.5,24.0,91.0,91.0,91.0
33,2.4,1.9,1.3,885.0,791.0,696.0,0.0,0.0,0.0,0.4,0.3,0.1,assam,25.0,22.5,20.0,91.0,46.0,0.0,5.8,5.7,5.5,2.4,1.9,1.3,885.0,791.0,696.0,0.0,0.0,0.0,25.0,22.5,20.0,91.0,46.0,0.0
34,3.3,2.2,1.1,579.0,510.0,440.0,72.0,54.0,36.0,3.8,3.1,2.4,assam,25.0,24.5,24.0,4600.0,3350.0,2100.0,7.4,7.0,6.6,3.3,2.2,1.1,579.0,510.0,440.0,72.0,54.0,36.0,25.0,24.5,24.0,4600.0,3350.0,2100.0
35,1.0,0.7,0.3,149.0,125.0,100.0,36.0,18.0,0.0,4.8,3.7,2.5,assam,24.0,22.0,20.0,4600.0,2300.0,0.0,5.4,5.1,4.7,1.0,0.7,0.3,149.0,125.0,100.0,36.0,18.0,0.0,24.0,22.0,20.0,4600.0,2300.0,0.0
36,2.9,2.0,1.0,1043.0,599.0,154.0,0.0,0.0,0.0,2.5,1.5,0.5,assam,31.0,27.5,24.0,0.0,0.0,0.0,7.4,6.8,6.2,2.9,2.0,1.0,1043.0,599.0,154.0,0.0,0.0,0.0,31.0,27.5,24.0,0.0,0.0,0.0
37,1.3,1.1,0.9,746.0,446.0,146.0,0.0,0.0,0.0,0.4,0.3,0.1,assam,32.0,27.5,23.0,0.0,0.0,0.0,6.4,5.9,5.3,1.3,1.1,0.9,746.0,446.0,146.0,0.0,0.0,0.0,32.0,27.5,23.0,0.0,0.0,0.0
38,3.8,2.4,1.0,1362.0,1048.0,734.0,240.0,120.0,0.0,12.2,9.8,7.4,assam,24.0,23.0,22.0,24000.0,12115.0,230.0,6.4,6.4,6.3,3.8,2.4,1.0,1362.0,1048.0,734.0,240.0,120.0,0.0,24.0,23.0,22.0,24000.0,12115.0,230.0
39,2.4,1.5,0.6,991.0,716.0,440.0,36.0,18.0,0.0,1.1,0.9,0.6,assam,26.0,25.0,24.0,91.0,46.0,0.0,7.3,6.9,6.5,2.4,1.5,0.6,991.0,716.0,440.0,36.0,18.0,0.0,26.0,25.0,24.0,91.0,46.0,0.0
40,0.9,0.8,0.7,745.0,591.0,436.0,0.0,0.0,0.0,9.8,8.3,6.7,assam,23.0,23.0,23.0,0.0,0.0,0.0,5.7,5.7,5.7,0.9,0.8,0.7,745.0,591.0,436.0,0.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0
41,1.4,1.1,0.8,604.0,562.0,520.0,9300.0,4650.0,0.0,3.8,3.6,3.3,assam,25.0,23.0,21.0,9301.0,4669.0,36.0,6.9,6.6,6.3,1.4,1.1,0.8,604.0,562.0,520.0,9300.0,4650.0,0.0,25.0,23.0,21.0,9301.0,4669.0,36.0
42,1.1,1.0,0.9,400.0,248.0,95.0,430.0,230.0,30.0,4.0,2.5,1.0,assam,28.0,26.5,25.0,1500.0,966.0,431.0,5.9,5.7,5.4,1.1,1.0,0.9,400.0,248.0,95.0,430.0,230.0,30.0,28.0,26.5,25.0,1500.0,966.0,431.0
43,0.9,0.8,0.7,617.0,544.0,470.0,0.0,0.0,0.0,0.2,0.1,0.0,assam,22.0,21.0,20.0,0.0,0.0,0.0,6.9,6.6,6.2,0.9,0.8,0.7,617.0,544.0,470.0,0.0,0.0,0.0,22.0,21.0,20.0,0.0,0.0,0.0
44,0.7,0.5,0.2,706.0,649.0,591.0,0.0,0.0,0.0,6.3,3.3,0.3,assam,22.0,21.0,20.0,36.0,18.0,0.0,6.2,6.2,6.1,0.7,0.5,0.2,706.0,649.0,591.0,0.0,0.0,0.0,22.0,21.0,20.0,36.0,18.0,0.0
45,3.2,2.2,1.2,823.0,817.0,810.0,0.0,0.0,0.0,9.8,5.6,1.4,assam,26.0,26.0,26.0,360.0,195.0,30.0,7.1,6.6,6.0,3.2,2.2,1.2,823.0,817.0,810.0,0.0,0.0,0.0,26.0,26.0,26.0,360.0,195.0,30.0
46,1.1,1.1,1.0,247.0,195.0,142.0,0.0,0.0,0.0,1.7,1.3,0.8,assam,28.0,27.0,26.0,36.0,18.0,0.0,6.4,6.1,5.8,1.1,1.1,1.0,247.0,195.0,142.0,0.0,0.0,0.0,28.0,27.0,26.0,36.0,18.0,0.0
47,0.7,0.6,0.4,578.0,475.0,371.0,0.0,0.0,0.0,2.1,1.6,1.0,assam,29.0,28.5,28.0,0.0,0.0,0.0,6.6,6.6,6.5,0.7,0.6,0.4,578.0,475.0,371.0,0.0,0.0,0.0,29.0,28.5,28.0,0.0,0.0,0.0
48,4.2,2.4,0.5,1648.0,1322.0,995.0,73.0,37.0,0.0,8.6,7.3,5.9,assam,29.0,27.0,25.0,11000.0,5500.0,0.0,7.2,6.5,5.7,4.2,2.4,0.5,1648.0,1322.0,995.0,73.0,37.0,0.0,29.0,27.0,25.0,11000.0,5500.0,0.0
49,1.3,1.3,1.3,417.0,417.0,417.0,0.0,0.0,0.0,0.1,0.1,0.1,assam,24.0,24.0,24.0,0.0,0.0,0.0,6.4,6.4,6.4,1.3,1.3,1.3,417.0,417.0,417.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0
50,1.1,1.1,1.1,745.0,601.0,456.0,0.0,0.0,0.0,6.5,5.5,4.4,assam,26.0,25.5,25.0,0.0,0.0,0.0,7.1,6.9,6.6,1.1,1.1,1.1,745.0,601.0,456.0,0.0,0.0,0.0,26.0,25.5,25.0,0.0,0.0,0.0
51,0.5,0.3,0.1,1205.0,1038.0,870.0,930.0,465.0,0.0,0.2,0.2,0.2,assam,32.0,28.6,25.1,110000.0,55000.0,0.0,7.0,6.9,6.8,0.5,0.3,0.1,1205.0,1038.0,870.0,930.0,465.0,0.0,32.0,28.6,25.1,110000.0,55000.0,0.0
52,1.0,0.8,0.6,893.0,747.0,600.0,0.0,0.0,0.0,7.3,6.1,4.9,assam,32.0,29.3,26.5,4600.0,2300.0,0.0,7.4,6.9,6.4,1.0,0.8,0.6,893.0,747.0,600.0,0.0,0.0,0.0,32.0,29.3,26.5,4600.0,2300.0,0.0
