STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1533,"*DIGBOI, TINSUKIA DISTT.,  ASSAM",Assam,23,24,23.5,6.4,6.6,6.5,734,762,748,0.7,2,1.4,5.4,8.6,7,0,36,18,0,24000,12000
1534,"*KARBI  ANGLONG DISTT., ASSAM",Assam,23,24,23.5,6.2,6.5,6.4,205,470,338,0.7,1.5,1.1,0.2,1.2,0.7,0,150,75,0,11000,5500
1535,"*SIBSAGAR , ASSAM",Assam,24,25,24.5,6.4,7.5,7,302,364,333,0.9,1.8,1.4,0.3,0.7,0.5,0,0,0,91,91,91
1536,"*SIBSAGAR, ASSAM",Assam,20,25,22.5,5.5,5.8,5.7,696,885,791,1.3,2.4,1.9,0.1,0.4,0.3,0,0,0,0,91,46
1537,"*(JORHAT, ASSAM",Assam,24,25,24.5,6.6,7.4,7,440,579,510,1.1,3.3,2.2,2.4,3.8,3.1,36,72,54,2100,4600,3350
1538,"*SILCHAR, ASSAM",Assam,20,24,22,4.7,5.4,5.1,100,149,125,0.3,1,0.7,2.5,4.8,3.7,0,36,18,0,4600,2300
1539,"*BARPETA, ASSAM",Assam,24,31,27.5,6.2,7.4,6.8,154,1043,599,1,2.9,2,0.5,2.5,1.5,0,0,0,0,0,0
1540,"*BONAIGAON, ASSAM",Assam,23,32,27.5,5.3,6.4,5.9,146,746,446,0.9,1.3,1.1,0.1,0.4,0.3,0,0,0,0,0,0
1541,"*GUWAHATI, ASSAM",Assam,22,24,23,6.3,6.4,6.4,734,1362,1048,1,3.8,2.4,7.4,12.2,9.8,0,240,120,230,24000,12115
1542,"*GUWAHATI, ASSAM",Assam,24,26,25,6.5,7.3,6.9,440,991,716,0.6,2.4,1.5,0.6,1.1,0.9,0,36,18,0,91,46
2243,"GROUND WATER FROM LEDO, MARGHERITA",Assam,23,23,23,5.7,5.7,5.7,436,745,591,0.7,0.9,0.8,6.7,9.8,8.3,0,0,0,0,0,0
2244,GROUND WATER FROM NAZIRA,Assam,21,25,23,6.3,6.9,6.6,520,604,562,0.8,1.4,1.1,3.3,3.8,3.6,0,9300,4650,36,9301,4669
2245,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),Assam,25,28,26.5,5.4,5.9,5.7,95,400,248,0.9,1.1,1,1,4,2.5,30,430,230,431,1500,966
2246,GROUND WATER FROM SEMENCHAPARI,Assam,20,22,21,6.2,6.9,6.6,470,617,544,0.7,0.9,0.8,0,0.2,0.1,0,0,0,0,0,0
2247,GROUND WATER FROM SILAPATHAR,Assam,20,22,21,6.1,6.2,6.2,591,706,649,0.2,0.7,0.5,0.3,6.3,3.3,0,0,0,0,36,18
2248,GROUND WATER FROM LAKHIMPUR TOWN,Assam,26,26,26,6,7.1,6.6,810,823,817,1.2,3.2,2.2,1.4,9.8,5.6,0,0,0,30,360,195
2249,GROUND WATER FROM TEZPUR (MISSION CHARIALI),Assam,26,28,27,5.8,6.4,6.1,142,247,195,1,1.1,1.1,0.8,1.7,1.3,0,0,0,0,36,18
2250,GROUND WATER FROM NAGAON (PANIGAON),Assam,28,29,28.5,6.5,6.6,6.6,371,578,475,0.4,0.7,0.6,1,2.1,1.6,0,0,0,0,0,0
2251,GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT,Assam,25,29,27,5.7,7.2,6.5,995,1648,1322,0.5,4.2,2.4,5.9,8.6,7.3,0,73,37,0,11000,5500
2252,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,Assam,24,24,24,6.4,6.4,6.4,417,417,417,1.3,1.3,1.3,0.1,0.1,0.1,0,0,0,0,0,0
2253,GROUND WATER FROM NALBARI,Assam,25,26,25.5,6.6,7.1,6.9,456,745,601,1.1,1.1,1.1,4.4,6.5,5.5,0,0,0,0,0,0
2254,GROUND WATER FROM BARPETA ROAD(RLY STATION),Assam,25.1,32,28.6,6.8,7,6.9,870,1205,1038,0.1,0.5,0.3,0.2,0.2,0.2,0,930,465,0,110000,55000
2255,"GROUND WATER NEAR BPRL, DHALIGAON",Assam,26.5,32,29.3,6.4,7.4,6.9,600,893,747,0.6,1,0.8,4.9,7.3,6.1,0,0,0,0,4600,2300
2256,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),Assam,25,32,28.5,6.4,6.5,6.5,136,893,515,0.6,0.6,0.6,3,4.9,4,0,91,46,360,930,645
2257,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),Assam,24.2,34,29.1,7.2,7.2,7.2,729,1036,883,0.5,1.2,0.9,0.1,0.5,0.3,0,2300,1150,91,2301,1196
2258,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),Assam,27,33,30,6.5,6.6,6.6,465,613,539,0.4,1.1,0.8,2.8,3.1,3,0,0,0,230,2300,1265
2259,GROUND WATER FROM DIPHU (GOVT. COLLEGE),Assam,28,29,28.5,7.2,7.5,7.4,1126,1904,1515,0.7,2.8,1.8,1.2,1.9,1.6,0,0,0,0,0,0
2261,GROUND WATER FROM HAFLONG,Assam,12,20,16,7.1,7.1,7.1,464,668,566,0.4,3.9,2.2,0.2,0.2,0.2,0,0,0,0,150,75
2262,GROUND WATER FROM KARIMGANJ (COLLEGE),Assam,12,12,12,6.5,6.5,6.5,330,330,330,0.9,0.9,0.9,4.7,4.7,4.7,0,0,0,430,430,430
2263,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),Assam,13,20,16.5,6.2,6.9,6.6,309,417,363,0.4,0.5,0.5,0.5,1.6,1.1,0,0,0,0,0,0
2264,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,Assam,14,21,17.5,6.4,6.5,6.5,134,1190,662,3.1,4.1,3.6,0.6,4,2.3,0,910,455,280,29000,14640
