STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1555,"AT KALA AMB, H.P",HIMACHAL PRADESH,24,25,24.3,6.7,8.3,7.7,462,501,475,0.8,0.8,0.8,0.5,0.5,0.5,1,4,2,4,7,5
1556,"AT PAONTA SAHIB, H.P",HIMACHAL PRADESH,22,23,22.3,6.9,8,7.6,436,564,521,0.4,0.8,0.5,0.6,0.7,0.7,1,5,2,4,8,5
1557,"AT PARWANOO, H.P",HIMACHAL PRADESH,19.6,19.6,19.6,6.8,7,6.9,477,702,627,0.1,0.1,0.1,0,0.3,0.2,NA,NA,NA,NA,NA,NA
1558,"AT BADDI, H.P",HIMACHAL PRADESH,NA,NA,NA,6.8,7.3,7,320,798,639,0.1,0.1,0.1,0.4,1.9,1.4,NA,NA,NA,NA,NA,NA
1559,"AT BAROTIWALA, H.P",HIMACHAL PRADESH,NA,NA,NA,6.9,7,6.9,311,405,374,0.1,0.1,0.1,2.5,2.9,2.7,NA,NA,NA,NA,NA,NA
1560,"AT NALAGARH, H.P",HIMACHAL PRADESH,NA,NA,NA,6.9,7.4,7.2,476,881,746,0.1,0.1,0.1,1,2.4,1.5,NA,NA,NA,NA,NA,NA
1561,"AT DAMTAL, H.P",HIMACHAL PRADESH,20,20,20,7.6,8.2,8,739,772,761,0.5,0.5,0.5,2,4.3,3.5,NA,NA,NA,NA,NA,NA
1562,"AT UNA, H.P",HIMACHAL PRADESH,12,22,15.3,7.6,7.6,7.6,673,698,681,0.4,0.8,0.5,2.2,3.1,2.5,NA,NA,NA,NA,NA,NA
1872,SHIMLA D/S OF MSW DUMPING SIOT,HIMACHAL PRADESH,7,20,13,5.9,7.9,7,268,632,489,0.8,35,6.9,0,10.1,2.5,8,40,17,28,168,77
1873,DHARAMSHALA KANGRA D/S OF MSW DUMPING SIOT,HIMACHAL PRADESH,16,16,16,6.5,7.7,7.3,324,410,381,0.2,0.3,0.2,3,4.6,3.5,NA,NA,NA,NA,NA,NA
1874,SOLAN-D/S OF MSW DUMPING SIOT-,HIMACHAL PRADESH,14.5,22,17.7,6.9,7.9,7.5,215,572,389,0.1,2.4,1.2,0,10.6,1.9,6,40,15,8,84,28
1875,MANDI-D/S OF MSW DUMPING SIOT,HIMACHAL PRADESH,13,18,16,8.1,8.5,8.3,244,592,357,0.5,16,4.7,0.1,0.9,0.3,26,94,70,180,280,235
1877,BADDI INDUSTRIAL AREA,HIMACHAL PRADESH,NA,NA,NA,6.8,7,6.8,317,808,644,0.1,0.2,0.1,2.3,4.2,3.6,NA,NA,NA,NA,NA,NA
1878,BAROTIWALA INDUSTRIAL AREA,HIMACHAL PRADESH,NA,NA,NA,7.3,7.4,7.4,309,400,370,0.1,0.1,0.1,3.3,3.3,3.3,NA,NA,NA,NA,NA,NA
1879,NALAGARH INDUSTRIAL AREA,HIMACHAL PRADESH,NA,NA,NA,6.6,6.8,6.7,479,885,750,0.1,2,0.7,1.9,1.9,1.9,NA,NA,NA,NA,NA,NA
1880,KALA AMB INDUSTRIAL AREA,HIMACHAL PRADESH,24,25,24.3,7.2,8.2,7.9,574,606,585,0.7,8,3.1,0.6,0.6,0.6,1,3,2,5,5,5
1881,PAONTA SAHIB INDUSTRIAL AREA,HIMACHAL PRADESH,23,24,23.3,6.9,7.9,7.5,365,537,480,0.7,0.8,0.8,0.8,0.8,0.8,1,1,1,2,5,4
1882,MEHATPUR INDUSTRIAL AREA,HIMACHAL PRADESH,13,22,16,7.6,7.7,7.7,828,899,852,0.1,0.4,0.3,3.6,5.1,4.1,NA,NA,NA,NA,NA,NA
1883,UNA INDUSTRIAL AREA,HIMACHAL PRADESH,13,23,16.3,7.6,8,7.9,719,735,724,0.1,0.1,0.1,1.3,2.2,1.9,NA,NA,NA,NA,NA,NA
2628,HAND PUMP AT SHAMSHI,HIMACHAL PRADESH,13.5,19,16.6,7.7,8.6,8,132,740,447,0.1,0.1,0.1,0,1.2,0.5,NA,NA,NA,NA,NA,NA
2629,HAND PUMP AT MANDI TOWN,HIMACHAL PRADESH,18,20,19,7.7,8.9,8.2,484,549,502,0.1,0.1,0.1,0,0.2,0.1,NA,NA,NA,NA,NA,NA
2630,HAND PUMP AT HAMIRPUR TOWN,HIMACHAL PRADESH,13,21,15.7,7.4,7.9,7.6,867,1130,1042,0.1,1,0.7,0.5,5.1,3.5,NA,NA,NA,NA,NA,NA
2631,HAND PUMP AT NADAUN TOWN,HIMACHAL PRADESH,14,20,16,7.2,7.7,7.5,754,794,767,0.4,0.8,0.7,0.2,3.5,2.4,NA,NA,NA,NA,NA,NA
2632,HAND PUMP AT BILASPUR TOWN,HIMACHAL PRADESH,15,20,17.5,6.9,8.4,7.5,729,869,787,0.1,0.1,0.1,0,8.8,2.2,NA,NA,NA,NA,NA,NA
2633,HAND PUMP AT RECONGPEO,HIMACHAL PRADESH,NA,NA,NA,6.7,8.2,7.8,121,1010,443,0.1,0.1,0.1,0,0.3,0.1,NA,NA,NA,NA,NA,NA
2634,HAND PUMP AT SHIMLA,HIMACHAL PRADESH,7,8,7.3,7.6,7.9,7.7,200,334,289,0.1,0.1,0.1,0.1,1.1,0.5,NA,NA,NA,NA,NA,NA
2635,HAND PUMP AT RAMPUR,HIMACHAL PRADESH,NA,NA,NA,8.2,8.9,8.4,221,455,299,0.1,0.1,0.1,0.1,0.5,0.2,NA,NA,NA,NA,NA,NA
2636,HAND PUMP AT KANGRA TEMPLE/ TOWN,HIMACHAL PRADESH,17,19,18.3,7.4,7.5,7.5,368,586,441,0.2,1,0.7,0.2,1.1,0.5,NA,NA,NA,NA,NA,NA
2637,HAND PUMP AT JWALAJI TEMPLE,HIMACHAL PRADESH,15,20,18.3,7.4,7.5,7.4,1070,1590,1243,0.6,2.8,1.3,0.2,5.8,2.1,NA,NA,NA,NA,NA,NA
2638,HAND PUMP AT CHINTPURNI TEMPLE/ TOWN,HIMACHAL PRADESH,20,22,20.7,7.5,8,7.9,640,689,656,0.2,0.3,0.3,1.2,2.9,2.3,NA,NA,NA,NA,NA,NA
2639,HAND PUMP AT CHAMUNDA DEVI TEMPLE/ TOWN,HIMACHAL PRADESH,15,20,18.3,7.8,8.3,8,96,437,323,0.2,0.3,0.2,1.3,2,1.8,NA,NA,NA,NA,NA,NA
2640,HAND PUMP AT SANSARPUR TERRACE IA,HIMACHAL PRADESH,20,21,20.3,7.6,7.7,7.7,361,388,370,0.2,0.6,0.3,1.1,1.6,1.3,NA,NA,NA,NA,NA,NA
2641,HAND PUMP AT CHAMBA TOWN,HIMACHAL PRADESH,18,22,19.3,7.2,7.9,7.7,674,761,732,0.3,0.6,0.5,0.2,0.7,0.6,NA,NA,NA,NA,NA,NA
2642,HAND PUMP AT DALHOUSIE TOWN,HIMACHAL PRADESH,19,23,20.3,7.4,8,7.8,161,237,186,0.6,1.6,1.3,0.2,1.9,0.8,NA,NA,NA,NA,NA,NA
2643,HAND PUMP AT SOLAN,HIMACHAL PRADESH,20,20,20,7.1,7.4,7.3,266,392,308,0.1,0.2,0.1,0,0.3,0.2,NA,NA,NA,2,2,2
2644,HAND PUMP AT PARWANOO IA,HIMACHAL PRADESH,NA,NA,NA,8.7,8.7,8.7,1105,1105,1105,0.1,0.1,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA
2645,HAND PUMP AT NAHAN,HIMACHAL PRADESH,21,24.5,22.2,6.7,7.9,7.5,600,648,632,0.8,0.9,0.9,0.8,0.8,0.8,1,3,2,5,8,6
2646,HAND PUMP AT KALA AMB,HIMACHAL PRADESH,21,24,22,6.9,8.3,7.8,436,1250,979,0.7,0.8,0.7,0.6,0.8,0.8,1,2,1,5,5,5
2647,HAND PUMP AT TAHLIWAL IA,HIMACHAL PRADESH,13,24,16.7,7.4,8.2,7.9,440,686,522,0.3,0.6,0.5,0.5,1.2,1,NA,NA,NA,NA,NA,NA
2648,HAND PUMP AT KEYLONG,HIMACHAL PRADESH,14.5,14.5,14.5,8.1,8.1,8.1,281,281,281,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
