STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
19,"WELL AT ELOOR, KERALA",Kerala,27.4,27.5,27.5,5.2,7.2,6.2,137,180,159,0.8,1.2,1,1.96,3.31,2.6,79,220,150,110,630,370
22,"WELL AT CHUNGAPALLY, KERALA",Kerala,24,26,25,5.7,7.7,6.7,103,125,114,0.2,0.6,0.4,0.42,1.3,0.9,17,350,184,22,430,226
35,"WELL AT PUNALUR, KERALA",Kerala,24,24,24,4.8,7.2,6,170,220,195,0.6,0.6,0.6,0.81,0.84,0.8,43,280,162,110,430,270
1581,"PAPPANAMKODE, THIRUVANANTHAPURAM, KERALA",Kerala,25,26.5,25.8,6,6.8,6.4,296,412,354,1,1.6,1.3,0,2.3,1.2,79,110,95,220,350,285
1582,"NEDUMANGAD, THIRUVANANTHAPURAM, KERALA",Kerala,25,26.5,25.8,7,7.4,7.2,150,170,160,1,7,4,1.2,4.2,2.7,43,94,69,180,240,210
1583,"KUNDARA, KOLLAM DISTT. , KERALA",Kerala,23,23,23,4.6,4.8,4.7,150,168,159,0.5,0.5,0.5,0.3,1.2,0.8,0,2,1,17,49,33
1584,"CHERTHALA, ALLEPPY, KERALA",Kerala,28,28.5,28.3,7.6,7.7,7.7,143,211,177,0.3,1.2,0.8,0,0.1,0,110,210,160,210,280,245
1585,"VYTTILA, ERNAKULAM DISTT. , KERALA",Kerala,28.2,29,28.6,7.7,7.7,7.7,230,580,405,1.2,4.9,3.1,0.7,9.7,5.2,11,140,76,210,700,455
1586,"EDAYAR ERNAKULAM DISTT., KERALA",Kerala,27,28.5,27.8,4.5,6.8,5.7,130,526,328,0.8,1.2,1,1.5,9.9,5.7,2,11,7,7,21,14
1587,"KALAMASSERY ERNAKULAM DISTT. , KERALA",Kerala,28,28,28,6.6,7.2,6.9,245,250,248,0.8,1,0.9,7.8,8.5,8.1,11,220,116,21,700,361
1588,"PUNKUNNAM TRISSUR DISTT. , KERALA",KERALA,28,30,29,7.2,7.9,7.6,260,280,270,0.8,1.2,1,0.2,2.9,1.5,140,180,160,540,630,585
1589,"MALAPURAM , KERALA",Kerala,29,29.5,29.3,6.7,6.9,6.8,280,290,285,0.4,0.8,0.6,0.4,1,0.7,0,4,2,11,21,16
1590,"MAVOOR, KOZHIKKODE DISTT. , KERALA",Kerala,25,27,26,6.3,7,6.7,95,106,101,0.2,0.9,0.6,1.3,1.9,1.6,11,350,181,17,790,404
1591,"KANNUR (MUNICIPALITY) KANNUR DISTTM , KERALA",Kerala,29,29,29,4.8,6.1,5.5,98,100,99,0.7,1.2,1,2.9,3.7,3.3,0,4,2,11,21,16
1592,"PAYYANNUR, KANNUR DISTT. , KERALA",Kerala,28,28,28,6.2,7,6.6,130,198,164,0.4,2,1.2,0.5,4.1,2.3,0,2,1,9,26,18
2308,FATHIMAPURAM (CHANGANASSERY),Kerala,27.5,29,28.3,5.7,7.3,6.5,156,405,281,0.3,0.5,0.4,4.1,7,5.6,490,1100,795,790,2600,1695
2309,KAROOR (PALA),Kerala,27,29,28,4.9,6.5,5.7,88,98,93,0.6,0.7,0.7,2.4,3.4,2.9,490,790,640,1100,1400,1250
2310,VAIKOM,Kerala,27,28,27.5,5.9,6.5,6.2,147,166,157,0.5,0.5,0.5,2.3,3.2,2.7,210,1100,655,430,2800,1615
2311,VADAVATHOOR (KOTTAYAM),Kerala,26.5,28,27.3,5.5,6.9,6.2,95,179,137,0.4,0.4,0.4,1.6,11.9,6.8,49,630,340,110,1100,605
2313,"SARVODAPURAM, ALAPPUZHA",Kerala,28,28,28,7.7,7.8,7.8,243,254,249,0.7,1.5,1.1,0,0.1,0,210,430,320,310,700,505
2314,KUREEPUZHA (KOLLAM),Kerala,24,24,24,5.5,7.2,6.4,180,230,205,1.2,1.2,1.2,2.4,2.5,2.5,110,210,160,430,490,460
2315,K.M.M.L. (KOLLAM),Kerala,24,24,24,7.4,8.3,7.9,450,525,488,1.8,2,1.9,0.9,2.5,1.7,11,210,111,43,490,267
2316,CHELLORA TRENCHING GROUND (KANNUR),Kerala,27,28,27.5,4.5,5.8,5.2,45,81,63,0.8,1.2,1,1.1,1.2,1.2,9,21,15,110,220,165
2317,PUNNALPETTIPPALAM (TELLICHERRY MUNICIPALITY,Kerala,27,28,27.5,6,6,6,222,404,313,0.9,1,1,4,7,5.5,0,4,2,9,21,15
2320,MANJERI,Kerala,28.5,29.5,29,6.3,6.8,6.6,234,240,237,0.3,0.7,0.5,0.8,3.4,2.1,0,22,11,0,110,55
2321,LALOOR (THRISSUR),Kerala,29,31,30,6.2,7.2,6.7,260,300,280,1,2.8,1.9,3,5.2,4.1,79,260,170,490,790,640
2322,OLLUR (THRISSUR),Kerala,29,30,29.5,5.1,5.3,5.2,186,230,208,1.3,105,53.2,1.5,3,2.3,79,230,155,220,790,505
2323,BRAHMAPURAM M.S.W. DUMPARK (ERNAKULAM),Kerala,27,28.1,27.6,4.7,6.8,5.8,251,347,299,0.8,1,0.9,3.1,7.9,5.5,79,1400,740,430,1700,1065
2324,HAZARDOUS WASTE DUMP (AMBALAMUGHAL),Kerala,27.3,28.3,27.8,7,7,7,83,230,157,0.8,3,1.9,0.4,0.5,0.4,2,11,7,5,21,13
2327,KARUKAMANI,Kerala,29,31,30,6.9,7.1,7,696,1074,885,0.3,1.2,0.8,1.1,2.6,1.8,140,350,245,240,540,390
3463,"WELL AT VELLIPARAMBA, KOZHEKODE",Kerala,26,29,27.5,5.2,7.1,6.2,104,105,105,0.2,0.9,0.6,1.8,3.6,2.7,9,350,180,21,790,406
3472,"WELL OF TEMPLE PARASSINIKADAVU, KANNUR",Kerala,28,30,29,7.4,7.8,7.6,637,1025,831,0.6,1.2,0.9,1.5,2,1.8,0,7,4,0,13,7
3474,"WELL AT PAYANOOR, KANNUR",Kerala,28.5,28.5,28.5,7,7.7,7.4,156,216,186,0.9,1.8,1.4,2,2.5,2.3,2,5,4,11,21,16
3475,"WELL AT KARIMBAM, KANNUR",Kerala,27,27,27,5.8,6.5,6.2,109,110,110,1,1,1,1.7,2.3,2,0,0,0,0,9,5
