STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1736,"GROUND WATER QUALITY STATION SARDARNAGAR, U.P",Uttar Pradesh,22,24,23,6.9,7,6.9,1044,1072,1058,4.9,5.2,5.1,3.9,4.2,4,80,100,90,170,220,195
1737,"GROUND WATER QUALITY STATION CAPTANGANJ, U.P",Uttar Pradesh,21,24,22.5,6.9,6.9,6.9,744,786,765,3.4,3.6,3.5,2.7,3,2.9,30,40,35,60,80,70
1738,"SITE 1, INDUSTRIAL AREA NEAR M/S WOODWARM CHEMICAL LTD., UNNAO, U.P",Uttar Pradesh,26,26,26,7.7,7.7,7.7,674,674,674,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1739,"SITE 2, INDUSTRIAL AREA NEAR M/S AMIN SONS, UNNAO, U.P",Uttar Pradesh,26,26,26,7.4,7.4,7.4,2987,2987,2987,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1740,"AT ROADWAYS BUS STATION, UNNAO, U.P",Uttar Pradesh,26,26,26,7.3,7.3,7.3,2940,2940,2940,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1741,"MAGAWARA INDUSTRIAL AREA NEAR M/S JAMJAM TANNERS, UNNAO, U.P",Uttar Pradesh,26,26,26,7.5,7.5,7.5,1202,1202,1202,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1742,"Handpump near India Pesticide Ltd., Chinhat ind Area",Uttar Pradesh,25,25.8,25.4,7.1,7.3,7.2,587,639,613,0.1,0.1,0.1,0,0.3,0.2,NA,NA,NA,NA,NA,NA
1743,"Handpump near Eveready Inds.,  Aishbagh",Uttar Pradesh,25,26,25.5,7,7.2,7.1,963,1182,1072,0.2,0.2,0.2,10.2,24.8,17.5,NA,NA,NA,NA,NA,NA
1744,"JAJMAU INDUSTRIAL AREA NO. 6 KANPUR, U.P",Uttar Pradesh,29,29,29,6.9,6.9,6.9,3923,3923,3923,NA,NA,NA,3.9,3.9,3.9,NA,NA,NA,NA,NA,NA
1745,"PANKI INDUSTRIAL AREA NEAR INDUSTRY OF AMMONIA FERTIZER KANPUR, U.P",Uttar Pradesh,29,29,29,7.4,7.4,7.4,1109,1109,1109,NA,NA,NA,4.2,4.2,4.2,NA,NA,NA,NA,NA,NA
1746,Nagar Palika Tube well Sultanpur,Uttar Pradesh,18,22,20.7,7.6,7.8,7.7,315,869,622,NA,NA,NA,0,0.3,0.2,NA,NA,NA,NA,NA,NA
1747,"India Marka hand pump,Sareny, Raebareli",Uttar Pradesh,21,21,21,7.8,7.9,7.8,611,852,732,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA
1749,"TUBE WELL AT MEERUT CITY, U.P",Uttar Pradesh,22,22,22,7.1,7.2,7.2,510,740,625,NA,NA,NA,0,0.8,0.4,NA,NA,NA,NA,NA,NA
1750,"TUBE WELL AT BAGPAT CITY, U.P",Uttar Pradesh,22,23,22.5,7.4,7.7,7.6,690,710,700,NA,NA,NA,0,0.8,0.4,NA,NA,NA,NA,NA,NA
1752,"SAHIBABAD INDUSTRIAL AREA, GHAZIABAD, U.P",Uttar Pradesh,23,23.6,23.3,6.6,7.3,6.9,1020,3880,2450,2,2.8,2.4,2.5,2.7,2.6,NA,NA,NA,NA,NA,NA
1753,"MEERUT ROAD INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,23,24,23.5,6.4,7,6.7,1680,1943,1812,2,2.5,2.3,1,1.8,1.4,NA,NA,NA,NA,NA,NA
1754,"HAPUR ROAD INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,22.8,24,23.4,6.4,7.1,6.8,1070,1250,1160,1.2,2.1,1.7,1.5,2.4,2,NA,NA,NA,NA,NA,NA
1755,"PILKHUA INDUSTRIAL AREA GHAZIABAD, U.P",Uttar Pradesh,23,25,24,6.5,7.2,6.9,1210,1800,1505,2.2,2.6,2.4,0.4,1.8,1.1,NA,NA,NA,NA,NA,NA
1757,"Hand Pump, Mirzapur Industrial area Mirzapur",Uttar Pradesh,22.9,23.8,23.4,7.2,7.4,7.3,1336,1418,1377,0.2,0.2,0.2,1.6,7.2,4.4,NA,NA,NA,NA,NA,NA
1759,"IFFCO, PHOOLPUR, ALLAHABAD, U.P",Uttar Pradesh,23.2,23.6,23.4,7.1,7.3,7.2,1248,1324,1286,0.3,0.3,0.3,0,1.5,0.7,NA,NA,NA,NA,NA,NA
1760,"M/S KANORIA CHEMICAL SONBHADRA, U.P",Uttar Pradesh,23.3,24,23.7,6.7,7,6.9,1258,1336,1297,0.3,0.4,0.4,0,11.4,5.7,NA,NA,NA,NA,NA,NA
1761,"TUBE WELL IN SINGRAULI INDUSTRIAL AREA, U.P",Uttar Pradesh,22.8,23.9,23.4,7.2,7.3,7.3,982,1015,999,0.3,0.4,0.4,0,1.6,0.8,NA,NA,NA,NA,NA,NA
1769,"Hand Pump, At Industrial Area Naini, Allahabad",Uttar Pradesh,23.8,33,28.9,7.1,7.6,7.3,1142,3300,2554,0.3,1,0.6,0,2,0.7,NA,NA,NA,NA,NA,NA
2469,"AT INDUSTRIAL AREA. NAINI, ALLAHABAD",Uttar Pradesh,23.8,23.8,23.8,7.6,7.6,7.6,1142,1142,1142,0.3,0.3,0.3,0,0,0,NA,NA,NA,NA,NA,NA
2469,"AT INDUSTRIAL AREA. NAINI, ALLAHABAD",Uttar Pradesh,23.8,23.8,23.8,7.6,7.6,7.6,1092,1092,1092,0.2,0.2,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA
2470,"AT INDUSTRIAL AREA, FATEHPUR",Uttar Pradesh,23,23.7,23.4,7.2,7.3,7.2,1272,1337,1305,0.3,0.4,0.4,0,3.8,1.9,NA,NA,NA,NA,NA,NA
2471,"GORAKHPUR INDUSTRIAL DEVELOPMENT AUTHORITY AREA (GIDA), GORAKHPUR",Uttar Pradesh,20,23,21.5,8,8,8,486,496,491,2.2,2.6,2.4,0.3,0.4,0.4,40,60,50,100,110,105
